@relation xalan-2.7

@attribute rfc numeric
@attribute loc numeric
@attribute wmc numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom numeric
@attribute moa numeric
@attribute bug {yes,no}

@data
15,74,2,6,2,1,0,yes
10,31,2,6,2,1,0,yes
94,2030,44,10,1,830,2,yes
150,1851,111,13,97,5301,8,yes
50,835,12,36,11,0,2,yes
0,14,0,0,0,0,0,yes
47,286,19,27,17,151,0,yes
4,9,2,0,2,1,0,yes
16,88,6,1,5,0,0,yes
21,166,14,2,12,53,0,yes
17,84,4,17,4,0,2,yes
23,125,9,8,8,6,1,yes
19,207,3,13,3,3,0,yes
73,942,21,17,9,102,4,yes
11,35,6,1,6,15,0,yes
12,60,5,7,5,8,0,yes
136,842,111,18,110,6045,3,yes
49,353,27,4,22,209,1,yes
39,256,14,13,13,23,0,yes
11,45,2,8,2,1,0,yes
14,68,8,1,8,0,0,yes
51,464,19,9,9,37,2,yes
2,6,1,0,1,0,0,yes
42,856,16,3,7,106,3,yes
17,88,2,10,2,1,0,yes
28,112,21,10,19,190,1,yes
9,44,3,0,2,1,0,yes
20,90,11,1,0,53,0,yes
32,269,5,23,4,0,1,yes
54,936,10,20,8,11,0,yes
2,12,1,0,1,0,0,yes
23,141,11,13,10,37,0,yes
10,68,4,4,3,6,0,yes
25,28,25,2,25,300,0,yes
21,158,15,2,15,0,2,yes
7,23,5,5,5,4,0,yes
6,82,5,1,5,0,1,yes
22,901,20,0,13,8,0,yes
20,90,11,1,0,53,0,yes
4,55,3,0,3,0,0,yes
19,85,5,17,5,10,0,yes
44,346,9,12,8,36,0,yes
56,432,22,1,22,139,0,yes
24,109,9,4,9,0,2,yes
2,4,1,1,0,0,0,yes
53,456,27,15,23,257,4,yes
49,699,13,2,0,64,0,yes
7,26,3,5,3,3,0,yes
29,235,7,0,6,0,0,yes
2,10,1,0,1,0,0,yes
102,931,36,8,33,0,2,yes
49,321,7,20,7,5,4,yes
14,40,13,13,13,78,0,yes
4,10,3,4,3,3,0,yes
84,840,56,7,56,714,1,yes
31,173,5,12,5,10,0,yes
31,143,7,3,6,13,2,yes
49,742,28,4,28,268,0,yes
17,132,3,7,1,3,0,yes
18,162,6,7,5,0,1,yes
59,831,31,10,29,117,0,yes
24,353,9,2,0,0,1,yes
18,81,9,0,9,36,0,yes
11,11,11,4,11,55,0,yes
11,40,2,8,2,1,0,yes
20,90,11,1,0,53,0,yes
28,112,8,8,8,16,1,yes
38,255,8,14,7,0,2,yes
15,52,9,8,8,36,0,yes
23,199,5,5,2,8,1,yes
10,11,10,0,10,45,0,yes
21,149,5,14,5,0,2,yes
54,306,9,18,5,30,1,yes
7,518,2,5,2,1,0,yes
20,90,11,1,0,53,0,yes
41,316,20,1,18,130,0,yes
12,217,8,0,8,0,0,yes
7,41,3,5,3,3,0,yes
13,59,4,12,4,6,0,yes
17,183,6,1,6,0,0,yes
77,1486,61,4,60,714,0,yes
18,107,5,1,5,8,0,yes
29,324,11,7,8,7,3,yes
22,497,20,0,20,0,0,yes
25,140,15,5,12,49,3,yes
20,75,7,12,7,0,1,yes
20,89,11,6,11,0,1,yes
33,341,9,2,6,36,0,yes
9,41,4,7,4,6,0,yes
25,424,6,1,6,3,1,yes
1,1,1,0,1,0,0,yes
14,150,8,3,3,26,1,yes
3,7,2,1,2,1,0,yes
7,16,2,5,2,1,0,yes
7,13,6,4,6,15,0,yes
8,30,7,1,7,21,1,yes
2,4,1,0,1,0,0,yes
57,812,37,4,3,440,3,yes
5,7,4,6,4,6,0,yes
112,2407,38,14,26,277,2,yes
3,231,2,0,2,1,0,yes
33,178,3,14,2,1,0,yes
123,1685,40,19,33,340,4,yes
9,24,3,8,2,3,0,yes
28,475,4,8,2,2,1,yes
49,529,21,4,19,0,0,yes
15,40,4,5,4,6,0,yes
8,23,4,1,3,0,1,yes
15,1166,4,1,3,6,0,yes
12,12,12,0,12,66,0,yes
7,32,3,1,2,0,0,yes
6,13,2,7,2,1,0,yes
10,32,8,3,8,28,0,yes
25,118,7,13,6,0,1,yes
20,161,12,1,12,24,0,yes
4,10,3,4,3,3,0,yes
85,502,19,20,17,91,2,yes
22,136,5,0,3,6,1,yes
2,4,1,1,1,0,0,yes
21,158,8,3,8,0,2,yes
11,57,6,0,6,0,0,yes
2,17,2,0,2,1,0,yes
16,84,5,6,5,4,0,yes
15,59,3,11,3,3,0,yes
18,92,2,5,1,1,0,yes
1,1,1,0,1,0,0,yes
4,47,2,0,2,1,0,yes
54,569,17,4,16,50,0,yes
41,390,16,1,15,12,0,yes
5,16,2,5,2,1,0,yes
8,20,2,5,0,1,0,yes
8,35,2,6,2,1,0,yes
2,6,1,1,1,0,0,yes
7,7,7,3,7,21,0,yes
16,56,7,8,6,9,1,yes
18,138,11,2,9,19,0,yes
65,560,18,14,17,81,2,yes
192,2505,76,21,66,2368,11,yes
7,26,3,5,3,3,0,yes
48,334,12,14,9,18,2,yes
7,93,4,16,4,0,0,yes
6,26,4,4,4,4,0,yes
2,6,1,0,1,0,0,yes
49,699,13,2,0,64,0,yes
32,164,14,11,11,0,2,yes
13,115,5,1,4,4,0,yes
97,1504,17,13,10,20,4,yes
23,516,21,0,21,0,0,yes
1,1,1,0,1,0,0,yes
26,127,11,2,11,0,1,yes
27,135,8,14,8,0,2,yes
14,62,3,1,1,3,0,yes
14,104,2,8,2,0,0,yes
12,43,4,10,3,6,0,yes
1,1,1,2,1,0,0,yes
8,24,2,6,2,1,0,yes
22,127,11,4,11,29,0,yes
23,116,10,3,10,0,1,yes
6,41,3,6,3,3,0,yes
20,532,10,2,8,0,1,yes
115,803,54,14,52,277,4,yes
5,15,2,4,1,1,0,yes
0,0,0,1,0,0,0,yes
1,1,1,0,1,0,0,yes
15,286,11,0,11,0,0,yes
14,63,3,15,3,0,1,yes
2,2,2,2,2,1,0,yes
1,1,1,1,1,0,0,yes
74,899,23,12,21,113,0,yes
23,390,8,0,4,10,0,yes
23,82,9,9,0,36,0,yes
2,2,2,1,2,1,0,yes
26,246,3,21,3,0,3,yes
12,39,2,10,2,1,0,yes
19,107,3,17,3,1,1,yes
49,699,13,2,0,64,0,yes
41,200,12,18,11,14,2,yes
43,375,11,18,10,0,2,yes
27,168,13,1,13,0,1,yes
26,172,3,15,2,0,3,yes
14,51,2,7,1,1,0,yes
7,26,3,5,3,3,0,yes
30,486,24,0,21,0,0,yes
23,82,9,9,0,36,0,yes
24,146,4,6,2,0,2,yes
346,1640,122,15,119,0,3,yes
14,180,10,1,10,0,1,yes
2,2,2,0,2,1,0,yes
11,300,6,0,1,7,0,yes
3,1867,2,1,2,1,0,yes
24,219,9,8,8,6,1,yes
79,1095,31,13,26,239,2,yes
27,170,3,11,2,3,0,yes
32,443,9,9,8,8,6,yes
122,1156,75,17,71,2607,4,yes
48,393,7,19,3,21,0,yes
8,44,2,5,1,1,0,yes
8,31,4,4,4,4,0,yes
36,330,5,5,5,0,2,yes
30,3239,24,0,23,204,0,yes
10,41,3,6,2,3,0,yes
3,320,2,0,2,1,0,yes
27,161,4,18,3,6,0,yes
12,49,6,9,5,0,0,yes
12,56,3,12,3,3,0,yes
9,27,3,7,3,1,1,yes
10,28,9,6,9,36,0,yes
20,90,11,1,0,53,0,yes
2,2,2,0,2,1,0,yes
22,931,8,1,3,0,0,yes
10,31,3,5,1,3,0,yes
46,250,10,23,9,19,2,yes
2,2,2,1,2,1,0,yes
8,62,4,2,3,0,1,yes
145,2405,42,31,27,619,10,yes
2,68,1,0,1,0,0,yes
9,9,9,0,9,36,0,yes
15,305,5,1,5,10,0,yes
101,3358,59,12,5,0,3,yes
117,611,58,7,54,0,3,yes
69,451,49,1,48,1150,0,yes
10,85,5,0,5,10,0,yes
41,437,10,3,7,0,1,yes
6,123,5,1,0,0,3,yes
13,103,2,0,2,1,0,yes
21,196,4,6,4,0,1,yes
22,122,5,1,5,8,0,yes
34,341,10,3,10,45,0,yes
1,1,1,1,1,0,0,yes
20,830,18,0,10,3,0,yes
4,14,2,3,2,1,0,yes
27,168,13,1,13,0,1,yes
5,5,5,0,5,10,0,yes
18,142,5,5,4,2,1,yes
29,120,8,0,8,0,0,yes
7,34,6,1,6,3,0,yes
4,19,3,0,3,0,0,yes
4,315,2,2,2,1,0,yes
49,699,13,2,0,64,0,yes
133,820,110,1,110,5985,0,yes
11,66,2,5,2,1,0,yes
4,6,3,1,2,3,0,yes
28,471,8,2,8,6,0,yes
49,699,13,2,0,64,0,yes
23,82,9,9,0,36,0,yes
56,402,22,2,20,221,1,yes
3,190,2,0,2,1,0,yes
7,600,2,5,2,1,0,yes
23,82,9,9,0,36,0,yes
10,39,4,0,3,6,0,yes
4,14,2,3,2,1,0,yes
1,1,1,0,1,0,0,yes
22,149,12,3,11,4,0,yes
13,130,5,5,3,0,0,yes
12,53,10,2,10,37,0,yes
4,315,2,2,2,1,0,yes
38,183,8,3,7,0,1,yes
22,179,8,0,6,20,0,yes
26,728,17,1,16,46,0,yes
54,423,10,8,4,17,1,yes
23,82,9,9,0,36,0,yes
2,7,1,2,1,0,0,yes
21,205,10,8,10,0,5,yes
64,426,28,40,26,374,0,yes
49,470,21,29,19,190,0,yes
8,52,7,1,0,9,1,yes
49,536,9,24,8,0,2,yes
15,1008,4,0,3,6,0,yes
7,614,2,5,2,1,0,yes
7,37,2,5,2,1,0,yes
29,332,14,2,14,0,1,yes
12,217,8,0,8,0,0,yes
55,318,6,27,5,3,2,yes
26,202,9,6,5,28,1,yes
37,256,7,7,7,21,0,yes
7,36,2,5,2,1,0,yes
46,528,13,5,9,8,0,yes
44,52,44,5,44,946,0,yes
32,122,4,9,3,6,0,yes
1,1,1,2,1,0,0,yes
7,26,3,5,3,3,0,yes
16,79,10,8,9,27,0,yes
55,163,39,0,38,467,0,yes
49,699,13,2,0,64,0,yes
45,326,20,2,19,188,0,yes
3,229,2,0,2,1,0,yes
15,120,8,10,7,18,0,yes
12,47,3,10,3,3,0,yes
7,33,3,0,3,3,0,yes
34,166,8,11,8,8,1,yes
30,224,3,29,3,3,0,yes
41,230,5,15,4,4,1,yes
33,934,30,0,30,0,0,yes
1,4,1,1,1,0,0,yes
26,405,14,2,11,15,4,yes
14,51,2,7,1,1,0,yes
33,341,9,2,6,36,0,yes
23,82,9,9,0,36,0,yes
9,41,5,0,5,0,0,yes
2,16,1,0,1,0,1,yes
4,14,2,3,2,1,0,yes
16,47,15,1,13,103,1,yes
23,132,6,7,6,9,1,yes
23,82,9,9,0,36,0,yes
4,10,3,0,3,3,0,yes
17,108,3,16,3,0,2,yes
8,84,3,4,0,0,2,yes
2,338,1,1,1,0,0,yes
13,47,5,3,5,10,0,yes
8,24,3,5,3,3,0,yes
7,26,3,5,3,3,0,yes
35,196,7,18,6,7,1,yes
4,4,4,1,4,6,0,yes
21,99,10,3,10,0,1,yes
45,334,11,10,9,39,0,yes
4,10,2,1,2,1,0,yes
7,43,3,5,3,1,0,yes
19,75,5,6,5,10,0,yes
0,0,0,0,0,0,0,yes
8,58,2,7,2,1,0,yes
24,97,4,5,3,6,0,yes
23,82,9,9,0,36,0,yes
50,404,19,5,16,51,0,yes
3,1243,2,0,2,1,0,yes
13,99,7,2,7,0,2,yes
11,37,3,9,3,3,0,yes
17,188,6,8,4,9,2,yes
2,26,1,0,1,0,0,yes
13,44,2,11,2,1,0,yes
39,276,17,1,16,62,1,yes
83,538,9,22,9,20,1,yes
18,75,8,11,5,4,0,yes
46,414,14,17,10,5,0,yes
17,165,14,0,13,0,0,yes
9,44,2,5,2,1,0,yes
4,11,3,1,1,3,0,yes
24,623,17,0,16,0,0,yes
18,63,6,5,6,3,0,yes
12,119,5,4,4,0,3,yes
5,16,2,5,2,1,0,yes
1,1,1,1,1,0,0,yes
12,56,3,13,3,3,0,yes
11,53,2,8,2,0,1,yes
9,41,4,0,4,0,0,yes
7,7,7,3,7,21,0,yes
49,699,13,2,0,64,0,yes
40,297,7,23,7,1,0,yes
4,14,2,3,2,1,0,yes
17,145,4,8,4,0,0,yes
10,99,7,2,2,13,2,yes
12,116,2,7,2,0,4,yes
11,46,3,6,3,3,0,yes
13,50,3,10,3,3,0,yes
23,82,9,9,0,36,0,yes
10,29,2,4,2,1,0,yes
6,19,5,0,5,10,0,yes
6,32,3,3,1,3,0,yes
5,26,2,3,2,0,0,yes
1,1,1,1,1,0,0,yes
6,22,2,6,2,1,0,yes
198,2572,96,13,66,0,2,yes
4,10,2,4,2,1,0,yes
13,44,5,2,3,4,1,yes
14,44,4,11,4,0,0,yes
23,183,3,4,2,3,0,yes
18,184,9,2,9,16,1,yes
2,6,1,1,1,0,0,yes
5,5,5,0,5,10,0,yes
84,666,52,20,45,1016,4,yes
15,65,10,0,10,37,0,yes
15,62,4,1,4,0,0,yes
46,339,13,5,13,42,0,yes
2,6,1,0,1,0,0,yes
173,1428,121,7,118,5684,1,yes
10,38,5,11,4,4,0,yes
15,161,13,0,12,0,0,yes
20,85,9,13,8,36,0,yes
5,13,2,4,2,1,0,yes
20,213,9,10,8,0,1,yes
44,268,8,15,4,8,1,yes
23,150,12,7,12,0,2,yes
100,641,49,12,46,1176,1,yes
1,1,1,1,1,0,0,yes
9,9,9,1,9,36,0,yes
10,41,6,4,5,13,1,yes
8,8,8,1,8,28,0,yes
49,320,16,19,16,50,1,yes
19,183,8,1,8,0,0,yes
60,367,36,20,34,622,16,yes
20,119,13,9,12,54,0,yes
82,843,17,22,17,84,3,yes
2,5,1,1,1,0,0,yes
10,90,4,0,0,0,0,yes
11,39,7,6,6,19,1,yes
20,90,11,1,0,53,0,yes
4,65,3,1,3,0,1,yes
51,257,17,23,14,86,0,yes
4,4,4,0,4,6,0,yes
6,8,5,2,5,10,0,yes
18,75,5,4,5,10,0,yes
15,2395,4,0,3,6,0,yes
56,317,21,36,19,208,0,yes
128,1730,39,27,8,669,2,yes
18,353,5,3,3,0,0,yes
3,870,2,1,2,1,0,yes
2,5,1,1,1,0,0,yes
20,153,12,1,12,24,0,yes
9,167,4,2,4,6,0,yes
14,14,14,0,14,91,0,yes
20,90,11,1,0,53,0,yes
6,15,2,5,2,1,0,yes
43,682,7,15,7,21,0,yes
23,82,9,9,0,36,0,yes
48,312,20,2,19,188,0,yes
9,9,9,1,9,36,0,yes
10,31,3,5,1,3,0,yes
2,6,1,0,1,0,0,yes
1,1,1,0,1,0,0,yes
44,261,16,13,14,8,2,yes
20,176,12,2,12,46,1,yes
11,357,4,3,0,4,3,yes
7,35,2,1,2,0,2,yes
17,75,3,13,3,3,0,yes
70,2002,13,9,6,66,7,yes
4,19,3,0,3,0,0,yes
2,12,1,0,1,0,0,yes
49,699,13,2,0,64,0,yes
43,647,17,4,10,54,2,yes
49,699,13,2,0,64,0,yes
16,70,7,16,7,1,0,yes
6,37,4,7,4,0,0,yes
20,90,11,1,0,53,0,yes
36,210,5,4,5,10,0,yes
5,25,3,4,3,1,0,yes
18,81,9,0,9,36,0,yes
10,31,2,10,2,1,0,yes
23,82,9,9,0,36,0,yes
4,11,3,1,3,3,0,yes
1,1,1,2,1,0,0,yes
17,93,5,8,5,8,0,yes
67,83,67,4,67,2211,0,yes
2,6,1,1,1,0,0,yes
4,4,4,0,4,6,0,yes
26,128,4,9,4,6,0,yes
11,29,7,6,5,21,0,yes
4,19,3,0,3,0,0,yes
10,80,1,4,0,0,3,yes
11,62,3,0,3,3,0,yes
7,44,2,5,2,1,0,yes
2,5,1,0,1,0,0,yes
5,29,4,0,4,0,0,yes
26,188,3,9,3,3,0,yes
39,214,4,4,3,4,0,yes
3,7,2,0,1,1,0,yes
22,126,5,18,5,4,2,yes
9,29,4,1,3,4,0,yes
6,18,6,0,6,15,0,yes
21,85,8,3,8,0,1,yes
11,37,3,9,3,3,0,yes
9,61,7,2,5,0,2,yes
11,41,5,1,5,0,0,yes
4,11,2,5,2,1,0,yes
21,153,4,4,3,6,0,yes
19,432,7,1,6,0,1,yes
23,82,9,9,0,36,0,yes
74,2239,20,1,5,178,0,yes
0,0,0,1,0,0,0,yes
35,184,5,12,4,10,0,yes
8,52,3,2,2,1,1,yes
56,276,31,9,30,435,1,yes
16,114,4,8,3,6,0,yes
46,379,5,19,4,10,0,yes
3,13,2,2,2,1,0,yes
15,72,5,3,4,0,1,yes
36,211,8,19,6,0,1,yes
40,175,14,8,13,0,1,yes
37,288,6,20,5,0,3,yes
14,37,3,4,2,1,1,yes
37,37,37,0,37,666,0,yes
1,1,1,0,1,0,0,yes
9,43,2,5,2,1,0,yes
15,98,4,7,3,2,1,yes
7,20,3,5,3,3,0,yes
19,106,9,4,9,0,1,yes
7,16,2,5,2,1,0,yes
20,90,11,1,0,53,0,yes
23,82,9,9,0,36,0,yes
78,505,29,14,29,114,3,yes
2,9,1,0,0,0,0,yes
20,90,11,1,0,53,0,yes
5,78,4,0,3,2,0,yes
1,1,1,2,1,0,0,yes
13,96,4,5,4,4,0,yes
8,41,5,7,5,6,0,yes
2,2,2,1,2,1,0,yes
30,106,7,13,7,0,1,yes
49,699,13,2,0,64,0,yes
36,537,5,23,4,2,1,yes
2,4,1,1,1,0,0,yes
7,40,4,1,3,0,0,yes
62,678,10,1,3,39,0,yes
90,877,42,5,39,335,1,yes
15,183,3,3,3,3,3,yes
2,4,1,1,1,0,0,yes
19,88,10,8,10,43,0,yes
20,114,11,7,10,0,1,yes
113,1203,48,41,15,1064,2,yes
68,267,38,1,38,0,0,yes
14,44,4,11,4,0,0,yes
27,230,6,26,4,15,0,yes
27,167,6,9,6,15,0,yes
53,752,14,9,10,27,0,yes
16,93,3,8,3,0,1,yes
49,699,13,2,0,64,0,yes
38,205,5,22,4,0,1,yes
56,338,12,12,9,66,0,yes
6,189,5,0,4,2,0,yes
25,275,6,6,6,0,0,yes
13,82,4,7,3,6,0,yes
0,0,0,0,0,0,0,yes
21,111,8,9,4,8,0,yes
26,165,15,5,15,53,5,yes
42,291,14,9,14,27,2,yes
19,55,3,6,2,3,0,yes
6,28,2,3,2,0,1,yes
8,30,4,7,3,6,0,yes
5,23,3,0,3,0,0,yes
78,422,23,22,20,161,2,yes
19,22,19,1,19,171,0,yes
2,20,1,0,1,0,0,yes
7,618,2,5,2,1,0,yes
20,90,11,1,0,53,0,yes
16,86,5,5,3,8,0,yes
7,614,2,5,2,1,0,yes
46,274,6,28,5,3,0,yes
76,611,33,20,31,472,6,yes
61,533,28,34,26,370,0,yes
15,4270,4,1,3,6,0,yes
3,229,2,0,2,1,0,yes
79,921,16,35,13,10,0,yes
22,153,7,16,5,0,4,yes
21,122,7,3,7,0,0,yes
38,272,7,19,5,7,1,yes
36,304,14,3,14,49,0,yes
15,1166,4,1,3,6,0,yes
3,229,2,0,2,1,0,yes
51,393,25,6,23,190,0,yes
3,229,2,0,2,1,0,yes
15,88,10,5,10,27,2,yes
3,229,2,0,2,1,0,yes
4,12,2,1,1,1,1,yes
25,195,8,5,8,0,2,yes
13,77,4,2,4,0,1,yes
15,4270,4,1,3,6,0,yes
38,384,22,3,21,67,2,yes
233,2220,81,54,66,3062,5,yes
15,4270,4,1,3,6,0,yes
18,99,10,3,9,3,2,yes
55,592,16,21,13,36,2,yes
3,1243,2,0,2,1,0,yes
71,582,25,1,20,254,1,yes
162,1420,73,22,38,2302,6,yes
58,314,8,25,7,6,3,yes
97,695,44,6,40,742,0,yes
15,4270,4,1,3,6,0,yes
3,229,2,0,2,1,0,yes
15,4270,4,1,3,6,0,yes
3,374,2,0,2,1,0,yes
43,276,18,16,17,55,2,yes
25,445,9,5,8,0,2,yes
119,1670,39,18,30,617,1,yes
43,253,8,25,8,0,2,yes
10,10,10,6,10,45,0,yes
3,1243,2,0,2,1,0,yes
15,122,7,6,6,0,1,yes
3,1243,2,0,2,1,0,yes
3,1243,2,0,2,1,0,yes
152,2586,29,39,15,128,4,yes
8,58,5,5,4,10,0,yes
25,137,2,16,2,1,0,yes
18,116,7,4,7,0,0,yes
44,582,15,12,14,43,1,yes
31,806,10,6,0,3,3,yes
3,229,2,0,2,1,0,yes
15,2120,4,1,3,6,0,yes
34,168,7,23,7,0,1,yes
15,2120,4,1,3,6,0,yes
9,9,9,1,9,36,0,yes
12,59,2,5,2,0,0,yes
15,1166,4,1,3,6,0,yes
59,392,8,22,6,2,2,yes
15,1166,4,1,3,6,0,yes
15,2120,4,1,3,6,0,yes
33,300,14,9,14,43,0,yes
15,1166,4,1,3,6,0,yes
3,1243,2,0,2,1,0,yes
68,466,42,15,40,819,0,yes
15,2120,4,1,3,6,0,yes
15,2120,4,1,3,6,0,yes
16,95,6,6,4,0,0,yes
53,911,7,12,6,1,0,yes
15,2120,4,1,3,6,0,yes
39,399,20,7,20,34,4,yes
3,1243,2,0,2,1,0,yes
23,258,7,3,7,21,0,yes
25,199,7,7,7,0,1,yes
109,1543,20,57,15,130,4,yes
17,56,5,10,4,10,0,yes
72,550,6,37,5,0,2,yes
77,482,5,17,3,10,0,yes
83,815,30,2,21,319,1,yes
115,2122,7,10,2,21,0,yes
19,19,19,0,19,171,0,yes
70,435,8,34,7,8,0,yes
0,15,0,0,0,0,0,yes
15,4270,4,1,3,6,0,yes
84,1526,45,3,37,990,0,yes
48,430,11,24,11,0,3,yes
15,1166,4,1,3,6,0,yes
45,267,5,29,4,4,1,yes
15,1166,4,1,3,6,0,yes
15,1166,4,1,3,6,0,yes
41,205,7,17,5,15,1,yes
15,4270,4,1,3,6,0,yes
15,2120,4,1,3,6,0,yes
56,223,41,2,41,784,0,yes
15,1166,4,1,3,6,0,yes
15,1166,4,1,3,6,0,yes
15,1166,4,1,3,6,0,yes
15,2120,4,1,3,6,0,yes
114,2140,51,23,40,1275,0,yes
3,229,2,0,2,1,0,yes
3,229,2,0,2,1,0,yes
73,345,17,9,16,0,3,yes
178,1124,83,10,76,0,1,yes
59,751,22,33,21,185,0,yes
57,578,8,17,6,20,0,yes
41,282,17,11,16,0,2,yes
15,4270,4,1,3,6,0,yes
69,725,37,8,34,180,2,yes
3,1243,2,0,2,1,0,yes
15,4270,4,1,3,6,0,yes
25,175,7,11,7,0,2,yes
15,4270,4,1,3,6,0,yes
15,4270,4,1,3,6,0,yes
36,331,13,5,12,22,0,yes
29,214,9,23,9,22,1,yes
23,139,12,5,12,54,1,yes
3,229,2,0,2,1,0,yes
3,229,2,0,2,1,0,yes
23,145,2,0,2,1,0,yes
15,4270,4,1,3,6,0,yes
34,168,7,23,7,0,1,yes
55,589,20,10,12,106,1,yes
50,295,15,7,10,101,2,yes
48,245,18,15,16,13,2,yes
3,1243,2,0,2,1,0,yes
68,2063,42,3,29,375,0,yes
15,4270,4,1,3,6,0,yes
68,2067,42,2,29,375,0,yes
3,229,2,0,2,1,0,yes
24,155,7,7,2,21,0,yes
44,384,14,9,6,67,2,yes
159,1159,82,22,79,2501,13,yes
29,605,9,2,8,12,0,yes
47,2717,6,25,2,3,0,yes
3,1243,2,0,2,1,0,yes
37,242,4,31,4,6,0,yes
3,1243,2,0,2,1,0,yes
37,245,3,23,2,3,0,yes
3,229,2,0,2,1,0,yes
3,229,2,0,2,1,0,yes
120,1110,44,15,42,794,7,yes
107,948,23,55,22,69,4,yes
41,413,7,5,2,15,0,yes
3,1243,2,0,2,1,0,yes
26,311,4,19,3,0,0,yes
3,229,2,0,2,1,0,yes
3,229,2,0,2,1,0,yes
