@relation poi-3.0_mod

@attribute rfc numeric
@attribute loc numeric
@attribute wmc numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom numeric
@attribute moa numeric
@attribute bug2 {yes,no}

@data
16,67,9,4,7,36,0,yes
21,122,12,4,10,54,0,yes
91,579,14,58,14,85,0,yes
49,595,12,7,8,18,0,yes
2,13,1,1,1,0,0,yes
15,53,3,0,2,1,0,yes
19,102,10,4,8,33,0,yes
19,92,10,4,8,39,0,yes
33,258,15,6,15,43,0,yes
58,652,39,7,37,91,9,yes
26,225,15,5,13,57,0,yes
29,269,17,5,15,74,0,yes
29,193,14,11,13,1,1,yes
37,276,8,4,6,0,0,yes
23,125,8,5,6,8,0,yes
38,366,24,5,22,234,0,yes
32,242,15,4,13,79,0,yes
35,262,19,7,17,0,4,yes
34,338,15,1,14,105,0,yes
14,67,10,3,10,45,0,yes
24,49,23,1,23,253,0,yes
25,171,13,5,11,44,0,yes
10,27,3,2,1,3,0,yes
25,207,11,7,6,55,0,yes
59,732,10,12,6,15,0,yes
48,167,23,1,22,0,1,yes
26,182,12,4,10,42,0,yes
20,113,11,4,9,35,0,yes
34,262,20,1,18,158,1,yes
12,69,10,1,10,3,0,yes
26,207,17,4,15,94,0,yes
50,485,37,6,34,442,6,yes
41,339,26,6,23,179,3,yes
18,75,10,4,9,39,0,yes
159,905,81,3,73,3130,2,yes
20,102,11,4,9,43,0,yes
22,122,11,5,9,35,0,yes
4,4,4,2,4,6,0,yes
33,321,19,5,17,95,0,yes
19,92,10,4,8,39,0,yes
15,60,8,4,6,28,0,yes
65,732,32,6,18,290,16,yes
47,353,12,5,11,28,0,yes
5,33,4,0,4,0,0,yes
20,104,11,4,9,43,0,yes
40,594,14,7,13,27,0,yes
31,240,15,5,13,55,0,yes
20,112,11,4,9,35,0,yes
37,434,15,4,14,5,0,yes
21,107,11,5,9,35,0,yes
37,335,14,5,12,35,0,yes
19,102,10,4,8,33,0,yes
45,3581,9,8,5,36,0,yes
15,60,8,4,6,28,0,yes
25,319,12,2,8,24,0,yes
47,538,27,5,27,149,0,yes
48,378,23,6,21,221,0,yes
16,70,9,4,7,36,0,yes
31,9886,16,3,11,102,1,yes
35,242,11,6,10,11,0,yes
49,269,12,8,11,0,0,yes
22,126,11,5,9,35,0,yes
43,457,16,5,14,96,0,yes
20,166,2,9,2,1,0,yes
18,83,10,4,9,25,0,yes
15,90,8,0,5,4,0,yes
18,222,12,2,8,54,1,yes
64,614,32,7,32,312,0,yes
21,122,12,4,10,54,0,yes
15,60,8,4,6,28,0,yes
35,388,28,1,28,198,0,yes
64,667,48,6,45,616,8,yes
22,122,11,5,9,35,0,yes
20,105,11,4,9,43,0,yes
20,113,11,4,9,35,0,yes
12,175,6,5,5,0,1,yes
19,91,10,4,8,33,0,yes
24,171,13,5,11,44,0,yes
39,365,24,5,22,234,0,yes
4,8,3,2,3,3,0,yes
16,71,9,4,7,36,0,yes
32,253,15,6,15,43,0,yes
33,320,19,5,17,95,0,yes
19,91,10,4,8,39,0,yes
19,101,10,4,8,33,0,yes
32,346,12,0,9,34,0,yes
18,75,10,4,9,39,0,yes
24,121,8,4,8,0,0,yes
23,150,9,5,7,0,0,yes
115,1371,95,6,92,3119,34,yes
13,62,9,3,9,36,0,yes
19,152,17,3,16,84,2,yes
30,322,19,5,17,95,0,yes
14,66,11,4,11,41,1,yes
19,101,10,4,8,33,0,yes
60,739,37,7,35,350,4,yes
60,700,34,9,34,187,2,yes
43,372,30,6,27,141,9,yes
56,635,35,7,33,189,6,yes
22,125,11,5,9,35,0,yes
22,124,11,4,9,25,0,yes
1,1,1,1,1,0,0,yes
39,374,23,7,21,75,3,yes
22,122,11,5,9,35,0,yes
13,62,9,3,9,36,0,yes
58,687,37,7,35,246,6,yes
103,1010,49,14,42,740,3,yes
2,2,2,1,2,1,0,yes
22,122,11,5,9,35,0,yes
72,485,55,6,55,1485,0,yes
19,91,10,4,8,39,0,yes
4,22,3,1,3,1,0,yes
20,113,11,4,9,35,0,yes
4,39,2,0,1,1,0,yes
34,262,20,1,18,158,1,yes
22,122,11,5,9,35,0,yes
84,1176,61,7,59,610,14,yes
41,177,5,15,2,6,2,yes
44,437,25,7,23,140,2,yes
19,93,10,4,8,39,0,yes
20,102,11,4,9,43,0,yes
30,1209,11,5,8,17,0,yes
44,398,36,2,33,630,0,yes
19,91,10,4,8,39,0,yes
31,229,15,5,15,43,0,yes
21,149,5,1,4,0,1,yes
39,360,23,7,21,35,4,yes
19,91,10,4,8,39,0,yes
33,227,17,7,15,0,3,yes
32,379,21,5,19,120,0,yes
18,75,7,0,7,0,0,yes
29,629,25,0,24,0,0,yes
20,113,11,4,9,35,0,yes
31,683,27,0,25,0,0,yes
19,94,10,4,8,39,0,yes
22,137,13,4,11,56,0,yes
20,112,11,4,9,35,0,yes
59,794,43,7,41,305,8,yes
42,318,21,7,20,38,3,yes
24,166,10,4,8,33,0,yes
16,1460,7,1,3,9,0,yes
166,1000,8,133,5,24,0,yes
22,123,12,4,10,44,0,yes
39,285,16,5,14,62,0,yes
49,476,29,5,27,298,0,yes
37,139,2,6,2,1,0,yes
90,397,43,2,41,0,1,yes
33,303,19,5,17,119,0,yes
53,543,37,6,34,394,5,yes
48,538,29,7,27,146,4,yes
42,235,13,6,11,0,0,yes
26,148,10,7,8,33,0,yes
16,86,11,4,11,21,0,yes
36,141,20,4,18,164,0,yes
59,267,8,19,4,20,4,yes
55,549,37,7,34,474,4,yes
32,398,18,3,16,85,0,yes
49,463,4,9,4,0,1,yes
48,421,17,8,17,38,1,yes
21,121,11,4,9,25,0,yes
36,173,6,12,2,11,2,yes
33,241,11,6,11,0,0,yes
31,206,13,5,11,52,0,yes
49,794,16,0,11,102,0,yes
16,125,10,4,8,15,0,yes
24,121,3,1,1,1,0,yes
24,150,11,6,10,9,2,yes
32,291,9,0,8,20,0,yes
32,192,14,5,11,73,0,yes
12,44,4,1,4,4,0,yes
63,684,33,7,33,326,1,yes
30,258,14,5,12,55,0,yes
30,259,14,5,12,55,0,yes
34,210,11,9,10,0,1,yes
27,214,4,8,2,4,0,yes
19,97,9,4,7,24,0,yes
64,714,18,7,14,127,2,yes
40,320,19,5,17,123,0,yes
39,388,23,7,20,181,1,yes
6,41,3,1,2,0,1,yes
32,155,4,11,2,4,1,yes
8,24,2,7,2,1,0,yes
11,46,3,7,3,3,0,yes
5,43,3,0,2,3,0,yes
24,241,11,2,6,53,0,yes
21,63,12,1,10,66,0,yes
60,386,23,10,17,65,3,yes
32,209,15,5,12,53,0,yes
33,286,21,4,19,148,0,yes
5,25,3,3,2,1,0,yes
90,1699,36,8,29,252,3,yes
95,461,17,28,13,106,2,yes
46,366,11,6,11,25,0,yes
146,2031,56,32,7,728,1,yes
70,613,12,7,7,0,1,yes
25,154,6,5,6,3,0,yes
13,107,6,3,4,0,2,yes
29,257,7,6,1,1,1,yes
42,514,17,9,15,108,1,yes
54,515,27,6,18,107,4,yes
79,810,37,9,34,436,3,yes
24,172,13,3,10,64,0,yes
15,128,6,8,5,15,0,yes
47,307,22,5,16,0,3,yes
129,1234,20,34,10,124,2,yes
26,118,7,3,5,0,2,yes
45,181,25,5,23,0,2,yes
61,710,29,5,26,282,0,yes
36,300,18,4,16,51,0,yes
89,531,19,17,16,155,0,yes
54,595,26,3,25,111,0,yes
54,434,22,9,17,69,0,yes
98,1116,60,11,55,1374,0,yes
24,174,11,4,8,0,0,yes
308,3649,88,56,50,2862,6,yes
59,754,7,16,5,9,0,yes
144,1294,36,24,27,104,5,yes
248,2273,65,41,52,100,4,yes
390,3878,134,60,101,7059,19,yes
302,1843,102,35,88,0,3,yes
