@relation jedit-4.3_mod

@attribute rfc numeric
@attribute loc numeric
@attribute wmc numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom numeric
@attribute moa numeric
@attribute bug2 {no,yes}

@data
2,5,1,0,1,0,0,no
181,2302,39,29,26,469,4,no
38,191,3,13,3,3,0,no
37,203,5,9,1,0,0,no
8,37,4,6,2,4,0,no
120,1482,41,17,14,820,0,no
4,12,2,4,2,1,0,no
56,557,14,7,1,51,0,no
33,419,8,1,8,0,0,no
57,1257,23,5,7,41,10,no
107,564,15,25,2,67,4,no
48,290,6,6,4,0,0,no
72,557,16,10,1,74,6,no
1,1,1,0,1,0,0,no
443,12535,351,51,88,41713,8,no
20,294,3,11,1,3,0,no
6,16,3,2,1,3,0,no
17,86,4,3,4,6,0,no
48,333,7,0,3,21,0,no
2,5,1,2,1,0,0,no
39,507,17,2,14,102,0,no
94,707,18,11,9,39,0,no
8,24,3,0,3,0,0,no
16,97,3,5,3,1,0,no
17,109,5,4,4,0,2,no
26,105,8,2,5,16,0,no
29,157,3,10,3,3,0,no
31,159,7,5,5,19,0,no
156,1802,44,39,32,632,4,no
47,551,11,5,9,41,0,no
46,427,6,18,1,15,0,no
5,28,4,0,4,0,0,no
70,672,11,10,8,47,11,no
38,191,10,6,8,0,0,no
43,466,9,11,3,0,1,no
2,5,1,2,1,0,0,no
6,32,3,3,2,0,1,no
4,4,4,1,4,6,0,no
70,589,34,9,20,507,1,no
13,75,6,0,6,0,0,no
2,5,1,2,1,0,0,no
111,698,31,23,29,273,1,no
1,1,1,1,1,0,0,no
73,403,23,16,7,201,5,no
3,3,3,2,3,3,0,no
24,182,12,5,7,26,2,no
10,81,3,7,2,3,0,no
24,99,10,7,7,45,0,no
4,4,4,1,4,6,0,no
1,1,1,1,1,0,0,no
6,83,4,0,3,0,0,no
25,130,7,3,4,19,1,no
2,2,2,0,2,1,0,no
4,12,2,4,2,1,0,no
9,57,2,3,2,1,0,no
21,79,4,5,3,0,0,no
1,1,1,0,1,0,0,no
36,559,21,8,14,96,8,no
23,82,4,7,2,0,1,no
4,11,2,4,2,1,0,no
24,190,4,9,2,6,0,no
26,172,3,9,2,0,1,no
2,2,2,5,2,1,0,no
41,212,8,11,7,22,3,no
15,68,6,2,5,5,0,no
76,930,8,13,2,0,4,no
47,254,10,5,4,19,1,no
38,294,10,8,9,13,1,no
4,12,2,4,2,1,0,no
26,193,6,1,6,15,0,no
17,133,5,1,3,4,0,no
9,32,2,5,1,1,0,no
39,360,16,13,7,74,3,no
187,2017,70,18,65,2409,1,no
73,445,12,16,6,6,4,no
10,136,2,11,1,1,4,no
4,72,2,1,1,1,0,no
1,1,1,0,1,0,0,no
44,1283,31,0,25,139,0,no
540,9460,262,49,218,19801,12,no
28,135,13,2,13,52,1,no
5,10,4,4,4,6,0,no
69,403,10,10,3,19,2,no
14,61,3,8,2,3,0,no
41,749,24,0,18,198,9,no
12,35,4,4,4,0,0,no
42,523,5,6,3,0,10,no
47,552,19,8,17,79,1,no
10,31,2,5,2,0,1,no
10,52,3,6,2,3,0,no
4,12,2,4,2,1,0,no
12,46,4,1,4,0,0,no
30,923,15,2,14,79,4,no
12,42,5,2,4,8,0,no
53,2884,32,6,17,0,13,no
38,541,11,7,7,23,4,no
72,657,12,8,1,32,9,no
25,216,12,3,9,14,2,no
65,1240,27,13,0,65,4,no
10,75,8,0,8,4,0,no
9,47,4,6,2,4,0,no
26,177,6,9,4,13,1,no
87,665,21,11,20,208,0,no
1,1,1,0,1,0,0,no
21,119,3,11,1,3,0,no
4,8,2,2,2,1,0,no
30,139,6,9,1,5,3,no
4,12,2,4,2,1,0,no
29,248,7,6,0,0,0,no
23,101,3,8,3,3,0,no
51,300,23,1,13,195,0,no
39,232,12,8,1,20,0,no
17,94,4,4,4,4,0,no
13,86,3,4,2,3,0,no
34,203,5,6,1,2,2,no
29,113,7,4,7,21,0,no
7,7,7,0,7,21,0,no
180,5209,118,1,27,6075,1,no
2,5,1,1,1,0,0,no
33,261,13,2,12,26,0,no
13,94,5,10,4,0,4,no
21,87,9,3,7,0,0,no
64,312,5,8,3,6,0,no
21,148,10,1,7,15,0,no
64,427,7,2,5,5,0,no
66,675,12,12,8,0,3,no
56,610,7,11,2,7,1,no
19,82,4,4,3,4,0,no
85,695,22,7,3,187,1,no
19,437,7,0,6,1,0,no
23,229,3,3,1,1,1,no
33,400,14,5,12,29,1,no
31,970,17,2,0,0,0,no
21,336,2,12,2,1,0,no
12,80,4,7,2,6,0,no
57,687,10,11,1,15,2,no
96,745,27,16,23,295,2,no
72,1597,14,8,6,21,4,no
6,54,5,0,5,10,0,no
6,28,2,6,1,1,0,no
40,162,9,3,7,0,1,no
6,44,3,2,3,3,0,no
67,7188,51,4,7,51,1,no
20,126,5,5,5,4,0,no
20,146,8,9,5,28,0,no
4,11,2,1,2,1,1,no
13,55,5,3,4,4,0,no
57,455,11,21,1,53,0,no
60,295,8,6,3,20,0,no
50,458,19,1,18,91,0,no
6,20,4,3,4,4,0,no
29,615,7,9,2,0,2,no
14,46,3,3,3,3,0,no
2,2,2,1,2,1,0,no
87,1296,15,12,7,0,1,no
6,36,2,6,1,1,0,no
20,290,4,10,1,6,0,no
29,278,10,4,6,17,1,no
25,179,2,15,1,1,0,no
47,535,14,19,9,55,3,no
11,256,8,0,0,0,1,no
17,149,3,10,2,3,0,no
28,235,2,16,1,1,0,no
15,84,9,7,9,36,0,no
18,87,7,1,6,13,0,no
52,372,5,8,4,2,1,no
21,129,4,5,2,4,0,no
2,2,2,0,2,1,0,no
85,1940,45,7,29,820,2,no
47,473,8,1,3,10,0,no
25,135,10,6,10,23,0,no
5,12,2,0,2,1,0,no
10,41,2,9,2,1,0,no
68,457,8,8,1,8,1,no
30,156,5,6,3,4,3,no
5,14,2,1,2,1,0,no
11,175,5,3,4,10,0,no
12,170,4,11,2,0,0,no
48,401,7,4,6,13,2,no
108,790,19,19,12,111,10,no
75,391,20,13,8,104,3,no
50,601,21,8,18,156,1,no
28,177,3,9,2,0,3,no
55,398,19,8,14,0,1,no
57,515,11,8,7,23,0,no
31,269,12,3,3,28,0,no
2,8,1,1,0,0,3,no
24,218,6,2,4,0,1,no
71,408,11,8,4,29,0,no
18,117,3,2,2,3,0,no
9,44,3,5,3,1,0,no
4,12,2,4,2,1,0,no
32,443,19,0,11,35,1,no
12,67,2,9,1,1,0,no
1,1,1,0,1,0,0,no
25,252,8,14,2,4,4,no
1,196,1,0,0,0,0,no
1,1,1,0,1,0,0,no
4,4,4,0,4,6,0,no
13,102,7,2,7,19,0,no
37,325,4,6,3,6,0,no
46,819,17,2,15,130,3,no
2,2,2,2,2,1,0,no
2,2,2,1,2,1,0,no
90,470,14,18,1,59,1,no
23,498,13,1,10,0,0,no
69,1201,27,5,25,351,0,no
6,17,3,8,3,3,0,no
77,498,17,18,3,76,5,no
291,2351,68,59,42,1812,7,no
58,269,10,6,3,17,1,no
20,132,5,6,4,0,3,no
39,256,11,4,10,21,0,no
84,798,20,6,10,46,1,no
58,748,12,9,1,26,3,no
75,532,22,9,8,195,3,no
228,2274,74,26,66,2673,1,no
13,47,3,4,3,0,1,no
23,216,7,4,7,19,0,no
91,780,16,8,3,82,1,no
9,34,6,3,6,15,0,no
21,187,5,8,4,4,0,no
121,1546,31,29,25,283,5,no
34,150,4,5,2,6,0,no
11,44,5,4,5,10,0,no
37,353,11,13,8,29,2,no
32,453,18,2,12,75,2,no
20,89,3,10,3,3,0,no
12,50,4,4,3,6,0,no
2,2,2,2,2,1,0,no
22,99,13,4,13,66,0,no
35,228,3,11,3,1,0,no
12,88,3,0,3,3,0,no
21,141,7,4,4,15,0,no
65,559,32,2,31,408,3,no
30,158,10,5,4,31,3,no
19,184,6,0,4,15,0,no
69,519,9,23,1,12,4,no
14,86,6,3,5,5,1,no
5,5,5,1,5,10,0,no
17,17,17,1,17,136,0,no
71,667,9,17,4,24,1,no
40,584,11,4,10,0,1,no
74,561,15,16,7,47,1,no
128,1254,49,11,29,1014,4,no
9,59,2,3,1,0,1,no
44,230,10,6,8,25,1,no
10,100,7,0,7,0,0,no
88,658,44,18,34,884,2,no
64,441,8,29,6,28,0,no
27,204,3,11,2,0,1,no
14,64,3,4,2,1,0,no
33,161,5,4,4,0,0,no
39,235,4,7,4,4,1,no
45,603,20,5,9,62,5,no
16,123,3,10,2,1,1,no
86,638,13,16,2,50,3,no
18,69,7,3,6,15,1,no
3,10,2,1,1,1,0,no
17,514,11,0,10,0,0,no
5,12,2,5,1,1,0,no
1,1,1,0,1,0,0,no
78,424,18,18,6,119,2,no
4,9,2,0,2,1,0,no
57,260,14,10,10,57,2,no
14,175,8,6,7,8,0,no
12,91,9,4,6,28,3,no
63,397,15,18,12,105,0,no
12,169,5,1,4,6,2,no
45,841,20,0,19,190,0,no
56,316,13,9,1,44,1,no
37,187,11,8,6,23,1,no
2,5,1,2,1,0,0,no
31,300,7,4,6,21,1,no
25,100,8,1,7,24,0,no
19,100,7,1,6,5,0,no
26,195,8,11,8,14,2,no
32,164,10,5,6,21,1,no
10,20,9,2,9,36,0,no
510,5420,148,101,109,10050,13,no
38,644,13,7,2,72,2,no
8,145,4,3,4,6,0,no
15,57,5,1,3,0,0,no
101,577,16,15,1,80,1,no
62,368,15,8,5,81,1,no
4,12,2,4,2,1,0,no
12,37,4,1,4,6,1,no
97,709,86,9,84,3649,0,no
190,2164,39,30,7,535,5,no
108,1485,33,13,15,70,7,no
13,61,5,3,4,4,0,no
9,37,3,0,2,1,0,no
18,161,5,5,2,6,0,no
79,1583,20,19,8,102,1,no
25,124,4,6,3,6,0,no
55,320,20,0,16,60,0,no
2,2,2,1,2,1,0,no
90,663,22,13,18,73,3,no
59,417,17,8,0,92,0,no
3,6,3,1,3,3,0,no
1,1,1,0,1,0,0,no
110,685,19,19,9,115,3,no
32,224,8,3,8,0,0,no
117,878,17,12,8,100,1,no
34,159,5,7,3,0,1,no
5,74,2,2,2,1,0,no
14,113,4,9,2,6,0,no
1,1,1,0,1,0,0,no
25,212,12,1,0,0,0,no
27,288,9,10,7,18,0,no
44,218,10,5,9,43,0,no
19,70,7,4,7,21,1,no
18,366,7,2,4,0,0,no
25,187,4,4,4,0,0,no
17,325,3,2,3,1,0,no
19,141,6,5,1,7,2,no
6,6,6,0,6,15,0,no
69,533,23,11,18,175,3,no
12,60,5,3,4,0,0,no
29,178,10,7,8,0,0,no
5,22,2,5,2,1,0,no
52,339,8,7,5,10,1,no
40,195,15,7,11,49,0,no
28,161,13,2,13,0,0,no
28,259,12,2,10,16,1,no
29,216,8,8,8,10,0,no
38,96,18,8,18,153,0,no
33,258,16,0,2,4,0,no
48,1417,19,2,16,151,0,no
4,12,2,4,2,1,0,no
35,183,5,5,3,0,0,no
3,8,2,2,2,1,0,no
12,140,4,2,3,6,0,no
16,84,3,2,2,1,0,no
60,252,18,6,15,69,1,no
76,348,18,16,6,89,2,no
2,2,2,1,2,1,0,no
3,13,2,2,2,1,0,no
38,193,19,9,14,147,1,no
37,222,10,7,9,3,1,no
98,799,14,12,4,51,0,no
30,242,19,8,18,147,5,no
29,141,6,6,3,5,2,no
23,494,11,4,10,23,1,no
1,1,1,2,1,0,0,no
87,718,16,19,11,14,1,no
29,708,9,6,3,0,0,no
1,1,1,0,1,0,0,no
47,230,15,11,6,79,1,no
9,18,8,2,8,28,0,no
3,5,2,1,2,1,0,no
0,179,0,0,0,0,0,no
56,522,7,11,1,13,2,no
81,412,26,16,20,217,3,no
15,39,6,0,6,0,0,no
23,189,9,9,8,16,3,no
29,378,14,3,10,0,1,no
27,220,10,4,6,21,2,no
53,285,3,14,3,0,1,no
14,178,8,0,6,8,1,no
19,378,8,6,4,10,2,no
2,2,2,0,2,1,0,no
144,1034,20,22,11,154,2,no
3,3,3,0,3,3,0,no
58,357,6,9,1,5,1,no
8,29,3,2,3,0,0,no
106,530,24,21,14,80,3,no
6,36,5,0,5,2,0,no
29,315,4,6,1,0,0,no
7,29,2,8,1,1,0,no
5,9,4,1,3,6,0,no
86,891,21,10,9,134,3,no
1,1,1,0,1,0,0,no
7,7,7,1,7,21,0,no
26,119,16,1,9,88,0,no
8,8,8,1,8,28,0,no
10,64,7,1,2,0,1,no
4,16,2,1,1,1,0,no
32,300,5,3,4,8,0,no
1,672,1,0,0,0,0,no
2,2,2,0,2,1,0,no
131,853,20,31,7,178,1,no
139,775,37,31,14,484,5,no
25,173,8,4,3,6,2,no
16,38,14,2,14,91,0,no
6,44,2,4,2,0,0,no
19,214,8,3,2,0,1,no
2,5,1,0,1,0,0,no
75,814,13,12,10,40,3,no
21,264,4,2,2,0,0,no
98,734,23,22,13,95,3,no
64,485,8,10,0,0,1,no
1,1,1,1,1,0,0,no
2,2,2,3,2,1,0,no
21,89,8,9,6,26,0,no
8,41,7,0,5,0,0,no
54,444,11,11,5,25,1,no
9,36,3,2,3,0,0,no
5,19,3,3,2,3,0,no
4,16,2,1,2,1,0,no
33,207,10,11,5,7,2,no
55,687,18,8,13,0,0,yes
4,12,2,4,2,1,0,yes
279,4045,119,28,97,5913,8,yes
339,3081,90,55,65,3509,12,yes
244,1783,39,48,30,231,8,yes
4,12,2,4,2,1,0,yes
132,956,55,15,52,1121,6,yes
4,12,2,4,2,1,0,yes
61,377,12,16,3,36,1,yes
4,12,2,4,2,1,0,yes
115,561,22,22,11,167,4,yes
