@relation ivy-2.0

@attribute rfc numeric
@attribute loc numeric
@attribute wmc numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom numeric
@attribute moa numeric
@attribute bug {yes,no}

@data
6,23,4,1,3,6,1,no
15,95,11,0,11,17,0,no
83,638,18,5,15,151,0,no
27,85,11,0,10,49,0,no
13,41,4,0,3,0,1,no
29,171,12,5,11,30,1,no
15,48,5,3,5,10,0,no
19,67,11,2,11,1,1,no
37,172,13,6,6,44,1,no
13,48,5,2,5,4,0,no
17,77,4,3,2,4,1,no
9,9,9,3,9,36,0,no
22,68,7,0,7,21,0,no
40,286,15,7,12,77,1,no
78,394,27,13,24,219,5,no
31,33,31,16,31,465,0,no
28,127,9,8,7,22,1,no
107,659,37,0,30,526,0,no
16,98,2,1,1,1,0,no
65,412,2,29,2,0,3,no
22,145,8,1,6,6,0,no
14,60,5,4,4,2,2,no
63,1034,7,8,5,21,0,no
19,97,14,1,7,79,0,no
30,183,20,2,18,142,0,no
30,149,5,10,3,4,1,no
35,204,13,4,13,52,2,no
63,939,12,0,5,64,0,no
18,99,2,1,2,0,0,no
26,158,5,6,3,4,0,no
6,6,6,2,6,15,0,no
5,17,4,1,2,6,1,no
12,74,11,2,11,25,1,no
12,12,12,6,12,66,0,no
1,1,1,1,1,0,0,no
6,6,6,5,6,15,0,no
34,326,2,14,2,0,2,no
8,20,4,0,4,6,0,no
17,112,5,2,4,10,0,no
13,69,8,0,6,14,0,no
22,97,5,1,5,8,0,no
6,24,5,3,5,6,2,no
6,21,3,0,1,1,0,no
5,24,4,1,4,0,1,no
11,48,4,2,4,6,0,no
7,17,3,0,3,3,0,no
8,8,8,5,8,28,0,no
7,34,6,0,6,3,0,no
20,155,3,6,3,1,0,no
9,40,3,4,3,0,2,no
2,9,1,3,1,0,0,no
108,896,47,0,45,865,0,no
59,354,22,15,22,0,2,no
3,14,2,2,2,0,1,no
8,34,5,3,4,8,0,no
5,12,2,3,2,1,0,no
21,68,11,0,11,13,0,no
148,895,59,31,57,0,1,no
49,304,25,0,25,224,0,no
36,165,6,0,5,0,0,no
22,103,5,0,3,10,0,no
22,201,3,11,2,0,3,no
49,298,13,4,12,24,0,no
5,15,2,2,1,0,0,no
1,1,1,0,1,0,0,no
18,76,5,0,4,8,0,no
14,51,10,6,10,37,1,no
58,373,21,0,15,156,0,no
4,20,3,0,3,0,0,no
90,1160,25,7,21,112,1,no
7,18,2,4,2,1,0,no
33,284,23,3,15,213,2,no
46,281,21,5,10,132,1,no
104,707,22,25,11,63,1,no
77,797,21,0,15,160,0,no
30,228,9,7,9,0,0,no
31,360,12,5,9,20,1,no
3,3,3,1,3,3,0,no
1,1,1,0,1,0,0,no
5,21,2,3,2,0,1,no
16,77,11,4,8,31,3,no
5,18,3,0,1,3,1,no
2,2,2,2,2,1,0,no
26,136,25,1,25,276,1,no
6,6,6,1,6,15,0,no
25,145,8,5,6,6,0,no
2,5,1,0,1,0,0,no
4,14,3,0,3,1,0,no
12,53,10,0,10,25,0,no
18,99,12,4,12,30,4,no
11,60,9,1,9,28,2,no
2,2,2,0,2,1,0,no
26,243,13,3,12,46,1,no
78,543,30,12,30,267,1,no
4,8,2,3,1,1,0,no
39,225,14,8,13,0,2,no
104,691,13,26,8,76,1,no
31,170,12,8,10,54,0,no
1,1,1,1,1,0,0,no
23,23,23,16,23,253,0,no
16,104,15,3,15,67,1,no
36,146,9,3,9,36,0,no
38,224,21,4,21,170,1,no
18,67,3,4,2,3,0,no
312,2701,157,75,142,11794,12,no
32,277,14,0,13,45,0,no
14,72,5,3,3,4,1,no
6,6,6,2,6,15,0,no
5,22,3,1,3,0,1,no
25,25,25,8,25,300,0,no
17,54,8,3,8,0,1,no
9,52,6,3,5,3,3,no
12,78,11,2,11,25,1,no
84,670,32,0,8,470,0,no
29,167,17,5,17,90,0,no
12,53,3,5,1,3,0,no
7,7,7,0,7,21,0,no
38,197,9,12,8,12,1,no
70,488,28,17,21,300,0,no
1,1,1,2,1,0,0,no
9,40,6,1,6,9,0,no
2,2,2,0,2,1,0,no
79,435,4,15,3,0,1,no
10,68,4,0,2,0,3,no
56,334,5,4,5,0,0,no
105,623,14,0,7,73,0,no
14,63,6,2,6,7,1,no
38,197,10,0,8,15,0,no
2,8,1,2,1,0,0,no
6,35,4,1,4,0,2,no
45,124,20,5,17,182,1,no
19,19,19,0,19,171,0,no
2,4,2,3,2,1,0,no
69,420,13,24,12,78,0,no
5,18,3,3,1,3,1,no
4,10,2,1,2,1,0,no
17,58,4,2,2,0,1,no
11,60,9,1,9,26,0,no
3,3,3,3,3,3,0,no
5,5,5,0,5,10,0,no
5,18,3,1,3,3,0,no
3,3,3,1,3,3,0,no
34,207,14,0,13,65,0,no
20,89,5,6,5,2,1,no
2,11,1,3,1,0,0,no
29,157,9,3,6,0,0,no
1,1,1,2,1,0,0,no
38,242,4,4,2,6,0,no
2,7,2,1,2,1,0,no
39,165,17,4,17,110,1,no
3,3,3,2,3,3,0,no
64,636,19,6,18,75,1,no
13,55,6,3,6,0,1,no
23,143,6,0,6,0,0,no
10,27,4,5,1,4,1,no
4,30,2,3,2,0,0,no
68,513,30,9,27,345,3,no
61,192,10,16,9,45,0,no
41,204,8,0,5,22,0,no
13,46,2,6,2,1,0,no
6,23,4,1,3,6,1,no
2,2,2,0,2,1,0,no
44,176,10,0,9,13,0,no
2,5,1,1,1,0,0,no
12,77,7,1,7,0,4,no
40,227,6,4,5,13,0,no
1,1,1,1,1,0,0,no
14,74,4,3,4,0,0,no
18,87,3,6,3,0,2,no
132,1096,30,25,13,369,0,no
12,64,3,6,3,0,1,no
13,44,6,2,6,0,1,no
1,1,1,2,1,0,0,no
32,134,13,0,13,4,0,no
14,24,13,2,12,78,1,no
3,3,3,3,3,3,0,no
2,4,1,1,1,0,0,no
2,2,2,2,2,1,0,no
2,2,2,2,2,1,0,no
27,147,7,0,7,0,0,no
30,267,13,8,11,0,0,no
17,60,4,5,1,4,0,no
39,1308,10,0,7,39,0,no
8,51,7,0,6,15,0,no
2,2,2,2,2,1,0,no
4,8,2,3,2,1,0,no
21,144,5,4,4,0,0,no
7,31,4,3,4,0,2,no
12,72,4,0,3,6,0,no
1,1,1,2,1,0,0,no
7,18,2,4,2,1,0,no
6,15,3,2,3,3,0,no
97,677,29,0,20,316,1,no
23,105,5,2,5,0,1,no
45,350,33,7,32,390,1,no
23,95,3,3,0,3,1,no
11,33,3,3,2,1,1,no
2,9,1,4,1,0,0,no
8,8,8,6,8,28,0,no
66,451,15,18,6,39,3,no
9,34,5,2,5,0,0,no
78,413,17,0,15,84,0,no
6,35,4,1,4,0,2,no
19,94,6,0,6,3,0,no
14,54,2,3,2,0,1,no
4,8,2,3,1,1,0,no
20,67,7,1,7,21,0,no
6,26,2,2,2,0,0,no
1,1,1,2,1,0,0,no
32,149,8,0,7,18,0,no
4,14,2,2,2,0,1,no
6,25,5,2,5,6,0,no
5,18,3,3,1,3,1,no
31,140,5,11,4,8,1,no
69,583,15,0,7,105,0,no
117,1209,9,21,3,36,0,no
1,1,1,1,1,0,0,no
2,2,2,0,2,1,0,no
19,86,6,0,4,0,0,no
21,84,10,1,9,0,1,no
50,267,13,0,10,46,0,no
3,3,3,2,3,3,0,no
3,14,2,3,2,0,1,no
62,309,19,0,17,119,0,no
10,39,3,3,2,0,2,no
41,230,14,7,11,35,0,no
14,70,3,4,2,0,2,no
23,164,14,5,14,53,1,no
5,32,4,0,4,0,0,no
8,21,4,0,4,6,0,no
5,12,3,2,3,3,0,no
3,3,3,1,3,3,0,no
4,10,2,2,2,1,0,no
22,101,3,11,3,3,0,no
38,215,3,10,3,1,0,no
8,24,4,2,4,4,1,no
5,15,2,2,1,0,0,no
1,1,1,1,1,0,0,no
15,50,5,2,4,10,0,no
3,3,3,5,3,3,0,no
10,27,4,8,4,6,0,no
77,1090,13,15,12,0,1,no
65,598,5,16,4,10,0,no
30,290,10,4,0,27,1,no
21,222,12,0,11,0,1,no
35,194,13,0,12,68,0,no
104,763,4,22,3,0,2,no
8,49,2,0,1,1,0,no
20,132,11,0,10,37,0,no
16,88,10,0,9,23,1,no
108,1130,37,0,29,516,0,no
28,124,9,5,8,10,2,no
108,766,21,0,7,190,1,no
163,1119,74,46,70,2213,12,no
24,122,7,0,6,0,0,no
2,2,2,1,2,1,0,no
91,699,29,16,27,312,3,no
15,53,6,4,6,15,0,no
9,34,4,1,4,0,1,no
5,18,3,3,1,3,1,no
54,233,21,0,19,0,1,no
1,1,1,2,1,0,0,no
8,30,7,4,7,13,1,no
3,3,3,1,3,3,0,no
17,141,8,1,8,20,1,no
10,10,10,3,10,45,0,no
113,636,45,0,45,814,0,no
