@relation lucene-2.4

@attribute rfc numeric
@attribute loc numeric
@attribute wmc numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom numeric
@attribute moa numeric
@attribute bug2 {yes,no}

@data
5,57,2,5,1,0,3,yes
4,13,2,1,1,1,0,yes
6,19,5,1,5,4,0,yes
12,12,12,0,12,66,0,yes
21,120,7,6,6,9,1,yes
29,514,14,4,6,53,1,yes
19,119,6,1,5,13,0,yes
4,25,3,1,3,0,1,yes
13,88,3,10,3,1,1,yes
5,15,3,3,3,3,0,yes
17,147,4,0,4,6,0,yes
4,39,2,2,0,1,0,yes
6,6,6,0,6,15,0,yes
16,178,6,2,0,0,1,yes
23,185,5,10,2,6,3,yes
7,21,2,0,2,1,0,yes
3,16,2,1,2,1,0,yes
19,184,6,0,4,15,0,yes
21,116,8,4,7,8,1,yes
18,65,6,1,5,9,0,yes
24,24,24,1,24,276,0,yes
8,49,7,0,7,19,2,yes
21,278,9,4,7,2,1,yes
21,197,13,0,11,64,0,yes
14,108,5,4,0,0,4,yes
8,28,3,4,3,0,1,yes
10,74,5,12,5,2,4,yes
27,348,11,5,11,0,0,yes
8,31,3,4,3,3,0,yes
46,770,9,16,4,0,6,yes
40,599,11,19,2,17,6,yes
8,31,3,4,3,3,0,yes
11,54,8,4,8,8,0,yes
3,5,2,0,2,1,0,yes
30,227,5,4,0,0,0,yes
51,3060,35,4,7,253,1,yes
7,21,3,5,2,3,0,yes
8,21,6,1,6,15,0,yes
42,599,6,11,2,0,5,yes
12,52,2,7,1,1,0,yes
21,120,7,6,6,9,1,yes
14,293,13,0,9,8,0,yes
21,120,7,6,6,9,1,yes
29,118,8,8,7,0,1,yes
44,658,11,8,0,1,7,yes
64,856,13,24,2,72,2,yes
10,83,9,0,8,2,1,yes
21,120,7,6,6,9,1,yes
13,117,6,5,4,0,2,yes
8,31,3,4,3,3,0,yes
19,107,6,3,3,7,0,yes
2,12,1,0,1,0,0,yes
18,408,5,1,4,0,1,yes
4,9,2,1,1,1,0,yes
34,593,24,4,21,140,0,yes
28,122,10,8,10,0,1,yes
15,969,7,2,5,1,0,yes
36,356,4,15,2,4,1,yes
1,1,1,2,1,0,0,yes
12,354,4,3,2,2,0,yes
16,56,8,1,8,0,1,yes
8,43,3,3,3,0,0,yes
20,247,6,4,5,5,1,yes
29,178,13,4,11,38,1,yes
24,361,16,2,12,0,2,yes
22,145,13,0,10,0,0,yes
17,109,7,4,5,5,2,yes
36,193,20,5,19,176,1,yes
20,389,5,6,0,0,2,yes
23,155,8,2,6,26,0,yes
31,182,14,7,12,0,1,yes
22,314,18,0,17,147,0,yes
19,121,13,1,11,70,0,yes
9,64,2,6,0,1,0,yes
77,1568,36,5,8,92,1,yes
58,719,26,13,22,0,4,yes
25,343,19,3,18,167,1,yes
25,126,8,0,6,22,0,yes
54,509,21,6,9,98,5,yes
58,751,15,17,4,37,6,yes
45,629,19,12,6,79,7,yes
5,5,5,0,5,10,0,yes
10,1311,7,2,5,5,0,yes
6,83,4,0,2,0,7,yes
18,228,8,8,7,0,0,yes
15,113,6,3,6,0,2,yes
63,531,25,7,11,208,2,yes
16,3574,15,0,14,99,0,yes
22,175,14,1,13,61,3,yes
16,228,14,0,14,91,0,yes
31,120,13,14,13,0,1,yes
57,200,28,12,23,0,1,yes
6,11,5,5,4,10,1,yes
9,31,4,3,3,0,0,yes
38,695,9,7,9,0,0,yes
16,179,7,3,6,0,2,yes
27,135,7,0,4,7,0,yes
26,207,16,5,8,80,0,yes
37,357,12,5,9,0,1,yes
5,27,4,2,3,0,0,yes
29,569,20,1,12,100,0,yes
29,1538,15,3,9,0,0,yes
34,480,12,14,5,26,6,yes
8,42,4,5,2,4,0,yes
17,102,6,3,4,3,0,yes
15,84,7,12,5,11,5,yes
5,172,4,0,1,0,0,yes
34,455,13,12,8,10,4,yes
2,2,2,1,2,1,0,yes
25,447,11,3,7,0,0,yes
18,78,12,2,12,66,0,yes
6,22,3,5,0,3,0,yes
41,286,10,12,9,7,0,yes
34,323,17,6,7,34,1,yes
10,31,6,3,6,15,0,yes
12,55,4,7,3,4,0,yes
9,15,7,5,1,21,0,yes
18,127,4,0,3,0,0,yes
41,386,16,9,15,2,0,yes
8,17,6,7,5,15,0,yes
168,3477,81,33,44,2716,12,yes
62,438,20,21,5,172,3,yes
37,340,3,16,2,0,6,yes
25,180,10,3,10,0,2,yes
25,190,7,5,5,0,2,yes
18,112,5,3,4,4,2,yes
28,149,6,8,6,0,1,yes
43,498,13,13,5,10,3,yes
8,54,6,2,5,3,0,yes
6,6,6,4,6,15,0,yes
69,1531,55,4,54,0,0,yes
5,7,4,0,4,6,0,yes
29,138,24,14,23,270,1,yes
6,20,3,1,2,0,1,yes
27,186,7,3,4,9,0,yes
15,102,8,4,6,0,2,yes
22,100,8,6,6,0,1,yes
21,185,7,2,3,13,0,yes
47,817,21,8,15,108,1,yes
46,357,7,12,7,0,2,yes
39,480,12,8,11,0,2,yes
29,199,14,22,12,67,12,yes
53,725,17,6,9,38,3,yes
128,1901,23,30,0,39,10,yes
6,22,4,1,2,0,0,yes
5,44,2,0,0,1,0,yes
32,224,14,7,12,0,2,yes
31,409,9,9,7,0,2,yes
77,1041,25,17,0,170,5,yes
26,94,17,4,16,124,1,yes
32,245,12,3,9,10,1,yes
48,413,17,10,13,12,0,yes
29,461,12,7,7,26,3,yes
10,31,6,1,4,9,0,yes
34,345,13,7,6,0,4,yes
36,242,19,10,18,0,0,yes
77,1122,51,2,45,43,1,yes
103,865,35,16,28,317,0,yes
11,11,11,12,11,55,0,yes
18,112,6,2,4,7,0,yes
28,482,17,6,17,0,0,yes
43,292,12,7,11,0,0,yes
27,136,7,8,6,1,1,yes
33,297,6,16,6,3,1,yes
77,1021,20,10,5,64,3,yes
3,5,2,1,2,1,0,yes
20,84,6,9,6,0,1,yes
27,567,8,1,6,18,0,yes
11,30,3,3,2,3,0,yes
69,801,33,16,24,0,1,yes
48,359,13,9,13,0,0,yes
39,249,13,7,12,72,0,yes
53,577,16,21,14,0,1,yes
10,44,6,4,4,13,1,yes
38,318,14,6,11,0,0,yes
11,55,3,5,3,3,0,yes
43,382,15,7,11,0,0,yes
18,162,6,3,6,0,1,yes
57,565,23,6,18,203,0,yes
14,20,13,8,12,78,1,yes
46,454,20,8,16,102,2,yes
14,57,6,5,5,15,0,yes
19,93,8,6,7,8,1,yes
20,74,7,7,6,9,1,yes
56,500,21,15,10,104,3,yes
26,143,9,8,8,0,2,yes
96,1498,13,15,8,60,1,yes
95,1118,37,20,21,0,1,yes
17,72,7,2,5,19,0,yes
22,286,15,1,14,0,3,yes
185,2835,76,46,0,1998,12,yes
97,1037,29,10,24,114,0,yes
82,596,25,18,8,160,5,yes
64,446,27,11,22,167,0,yes
97,729,38,10,28,553,1,yes
41,205,15,20,14,0,1,yes
131,722,76,25,62,2812,1,yes
183,2234,64,33,28,1464,13,yes
392,8474,166,34,88,6747,12,yes
