@relation ant-1.7_mod

@attribute rfc numeric
@attribute loc numeric
@attribute wmc numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom numeric
@attribute moa numeric
@attribute bug {no,yes}

@data
14,56,4,13,4,6,1,no
1,1,1,1,1,0,0,no
21,108,7,4,7,3,0,no
1,1,1,0,1,0,0,no
31,165,16,8,13,76,2,no
30,282,12,6,8,30,1,no
5,24,4,1,4,0,0,no
46,372,14,7,8,27,0,no
0,26,0,0,0,0,0,no
30,278,7,3,5,9,0,no
17,131,6,4,6,0,0,no
17,107,7,3,5,0,0,no
2,4,1,1,1,0,0,no
33,261,12,7,10,66,0,no
39,274,8,5,7,4,0,no
62,625,22,5,17,133,0,no
10,51,4,2,4,0,0,no
66,315,15,13,2,77,3,no
1,1,1,2,1,0,0,no
26,198,7,7,7,0,2,no
10,44,3,1,3,0,0,no
70,615,31,3,13,407,2,no
11,25,3,1,3,3,0,no
13,85,4,3,4,0,0,no
7,29,4,2,4,0,0,no
11,56,6,3,6,0,0,no
9,64,5,2,5,0,0,no
3,3,3,5,3,3,0,no
14,75,10,2,10,35,2,no
26,172,8,4,5,0,0,no
42,249,23,4,15,185,0,no
1,1,1,1,1,0,0,no
0,0,0,2,0,0,0,no
15,136,8,3,7,20,4,no
21,71,5,5,4,10,0,no
13,44,4,2,4,6,0,no
31,202,3,3,1,3,0,no
51,376,31,7,20,381,0,no
12,76,3,4,3,1,0,no
5,45,3,0,3,0,0,no
49,265,11,6,9,21,0,no
14,56,7,4,5,15,0,no
1,1,1,1,1,0,0,no
6,22,3,0,2,1,0,no
32,1254,6,3,5,0,0,no
8,101,5,1,3,8,5,no
55,322,18,6,15,79,3,no
4,12,2,2,1,1,0,no
96,610,24,13,20,246,1,no
20,75,9,6,9,12,0,no
24,373,7,1,3,19,0,no
33,178,11,7,8,37,0,no
58,345,17,3,9,108,1,no
45,307,22,7,18,183,0,no
15,110,8,4,5,0,2,no
24,156,9,0,3,4,0,no
38,260,11,9,9,29,3,no
26,149,2,7,2,1,0,no
31,123,6,7,5,3,1,no
54,703,20,4,13,138,6,no
25,152,8,5,7,16,0,no
38,234,16,7,14,84,0,no
41,312,15,11,13,57,0,no
47,240,12,8,6,44,1,no
5,5,5,4,5,10,0,no
2,2,2,0,2,1,0,no
26,152,4,4,2,6,0,no
4,11,1,1,1,0,0,no
1,1,1,1,1,0,0,no
16,52,4,4,3,0,0,no
9,81,5,0,3,10,0,no
1,1,1,2,1,0,0,no
1,1,1,2,1,0,0,no
4,4,4,4,4,6,0,no
23,121,3,1,3,1,0,no
7,25,2,3,2,1,0,no
7,20,4,1,4,6,0,no
19,89,3,4,2,1,0,no
11,47,2,0,1,0,0,no
33,167,8,11,6,4,4,no
11,25,3,1,3,3,0,no
3,3,3,0,3,3,0,no
17,134,5,6,5,0,0,no
4,9,2,0,2,1,0,no
52,468,14,8,10,15,1,no
5,12,3,1,3,3,0,no
2,5,1,0,1,0,0,no
23,141,9,3,8,0,1,no
12,70,6,0,6,0,0,no
2,2,2,2,2,1,0,no
46,333,22,8,16,189,0,no
18,119,4,6,3,6,0,no
8,34,7,1,4,15,0,no
3,12,2,0,1,0,0,no
41,185,17,6,14,104,0,no
41,319,19,17,19,23,1,no
21,146,12,1,4,42,0,no
43,202,15,5,15,95,1,no
1,1,1,0,1,0,0,no
14,58,6,1,6,0,0,no
3,3,3,1,3,3,0,no
39,189,25,26,25,0,0,no
2,5,1,0,1,0,0,no
1,1,1,2,1,0,0,no
20,80,2,5,2,1,0,no
16,55,7,3,6,13,0,no
14,96,4,6,3,0,1,no
10,55,3,4,3,0,0,no
28,92,7,6,6,21,0,no
1,1,1,1,1,0,0,no
121,1095,33,22,25,440,7,no
96,796,29,17,16,294,4,no
31,163,7,6,6,0,0,no
3,7,2,0,2,1,0,no
35,217,11,6,8,9,2,no
0,22,0,0,0,0,0,no
5,17,2,1,2,1,0,no
10,48,4,4,4,2,0,no
37,323,9,7,6,10,1,no
38,122,11,8,10,55,0,no
26,211,6,4,0,15,0,no
17,108,2,6,1,1,0,no
28,217,9,4,8,12,0,no
31,178,5,7,4,4,1,no
22,298,13,4,12,56,0,no
5,10,2,1,2,1,0,no
18,194,8,3,7,2,0,no
32,190,8,8,8,0,1,no
68,534,38,12,13,601,1,no
12,72,7,4,7,11,0,no
8,18,1,1,1,0,0,no
2,2,2,2,2,1,0,no
9,24,5,2,2,10,0,no
32,221,10,6,7,0,0,no
17,67,6,5,5,15,0,no
18,100,4,6,4,0,1,no
18,148,5,4,5,0,0,no
10,10,10,1,10,45,0,no
14,68,4,3,3,6,0,no
7,26,4,3,4,0,0,no
5,11,3,3,3,3,0,no
24,135,6,4,6,1,0,no
28,261,6,6,6,9,0,no
36,182,8,6,4,18,1,no
19,88,9,1,9,14,0,no
21,123,9,7,9,16,1,no
61,586,9,9,7,14,1,no
85,860,28,8,24,248,3,no
23,145,3,9,2,3,0,no
9,33,3,3,3,3,0,no
22,98,6,4,4,7,0,no
0,0,0,2,0,0,0,no
38,345,9,8,7,14,0,no
27,109,5,7,4,4,0,no
45,173,12,6,11,66,0,no
1,1,1,1,1,0,0,no
36,369,13,10,9,20,1,no
15,50,3,6,2,3,0,no
26,129,10,5,5,41,1,no
8,43,7,0,7,3,0,no
38,198,25,22,21,0,0,no
34,399,26,4,26,203,0,no
52,377,20,7,19,154,0,no
9,74,2,2,2,0,1,no
19,74,4,7,4,6,0,no
27,221,4,13,1,4,0,no
16,60,9,0,8,34,0,no
41,377,14,6,13,29,2,no
69,492,14,14,14,25,2,no
16,72,6,6,5,9,1,no
61,507,21,12,15,144,3,no
17,127,4,1,3,6,0,no
7,35,4,2,4,4,1,no
21,108,7,4,7,3,0,no
27,141,8,6,8,0,0,no
15,66,7,1,7,21,0,no
8,45,4,4,3,4,1,no
3,12,2,0,1,0,0,no
41,130,12,8,11,66,0,no
5,14,3,3,2,1,0,no
4,10,2,1,2,1,0,no
7,23,2,3,2,1,0,no
3,13,2,1,2,0,0,no
25,120,9,6,8,18,0,no
2,2,2,2,2,1,0,no
27,146,5,10,3,2,1,no
13,66,2,5,2,1,0,no
22,163,2,9,2,1,0,no
13,81,4,4,4,0,0,no
25,251,10,4,6,0,1,no
5,17,4,2,4,4,0,no
32,134,10,5,9,41,0,no
92,707,42,13,36,753,4,no
40,254,16,3,10,80,2,no
23,246,9,0,9,0,0,no
34,266,9,9,9,4,0,no
34,378,14,6,14,65,1,no
2,4,1,1,1,0,0,no
7,17,3,3,3,3,0,no
59,471,29,5,27,328,0,no
29,195,6,7,5,0,0,no
41,214,10,5,5,21,0,no
26,144,5,8,3,10,0,no
7,19,3,0,3,0,0,no
17,94,6,5,5,5,0,no
46,264,7,8,0,21,0,no
16,52,4,4,3,0,0,no
30,153,15,1,15,0,1,no
5,19,3,0,3,3,0,no
22,130,9,1,8,28,0,no
56,280,6,14,3,13,1,no
43,386,14,7,10,57,1,no
86,822,34,10,27,0,1,no
26,156,10,4,7,9,1,no
5,24,3,0,3,3,0,no
6,34,3,3,3,0,0,no
23,265,2,4,2,1,0,no
1,3,1,2,1,0,0,no
18,81,5,5,4,10,0,no
4,8,2,2,2,1,0,no
78,503,28,20,26,142,1,no
107,977,31,19,28,391,5,no
24,116,3,7,2,3,0,no
91,671,25,18,18,218,2,no
45,302,21,7,16,168,0,no
16,202,6,0,2,11,0,no
82,552,13,19,13,22,4,no
19,165,8,5,7,8,0,no
13,115,1,0,0,0,0,no
17,87,5,3,4,10,0,no
2,2,2,0,2,1,0,no
41,203,12,7,9,48,0,no
40,281,8,2,8,10,0,no
16,84,6,3,6,1,0,no
25,135,6,2,6,0,0,no
1,1,1,0,1,0,0,no
19,101,3,3,2,0,0,no
2,4,1,1,1,0,0,no
14,108,4,4,4,0,0,no
18,147,4,3,3,4,0,no
25,137,5,8,3,4,0,no
9,42,7,0,7,15,0,no
3,13,2,1,2,0,0,no
11,35,3,4,3,0,1,no
23,150,7,3,5,0,0,no
39,247,11,10,11,0,1,no
32,140,17,8,16,16,2,no
16,284,8,0,7,6,0,no
105,874,28,12,13,344,4,no
14,79,4,7,3,6,0,no
9,1107,8,0,0,0,0,no
34,171,5,9,2,10,0,no
20,71,3,5,1,3,0,no
11,105,7,0,7,7,0,no
17,89,8,2,7,16,0,no
21,90,7,5,4,0,0,no
31,223,12,6,12,46,0,no
13,109,8,1,8,12,0,no
1,1,1,1,1,0,0,no
14,52,3,2,3,3,0,no
16,105,3,10,2,3,0,no
2,2,2,2,2,1,0,no
111,888,64,12,38,1836,1,no
46,386,12,9,11,34,0,no
10,32,3,3,3,0,0,no
21,108,7,4,7,3,0,no
14,14,14,0,14,91,0,no
4,4,4,3,4,6,0,no
52,355,13,7,7,48,1,no
56,850,23,4,16,191,7,no
5,16,4,1,4,6,0,no
32,155,13,2,9,70,1,no
6,20,2,1,1,1,0,no
98,327,42,26,40,0,1,no
135,1367,33,15,10,316,5,no
25,122,8,3,5,28,0,no
15,143,7,0,5,0,0,no
18,97,4,10,2,6,0,no
28,214,12,6,10,36,2,no
14,51,5,3,5,0,0,no
21,135,9,7,7,22,0,no
8,37,4,3,4,0,0,no
8,25,2,4,2,1,0,no
56,362,16,16,14,60,2,no
24,109,15,5,13,77,2,no
26,134,11,1,9,41,2,no
28,143,9,8,4,6,0,no
26,129,4,5,1,6,0,no
20,177,9,2,9,34,1,no
52,300,28,4,28,282,3,no
20,129,10,5,7,39,0,no
16,95,3,5,2,3,0,no
111,1006,36,12,32,528,0,no
14,52,3,2,3,3,0,no
1,1,1,1,1,0,0,no
7,23,2,3,2,1,0,no
32,209,7,9,7,1,2,no
13,70,6,4,2,9,0,no
41,285,13,8,7,48,0,no
40,289,13,9,10,0,0,no
86,451,14,14,8,41,2,no
32,185,3,6,1,3,0,no
1,1,1,0,1,0,0,no
36,335,7,1,5,0,1,no
5,11,2,2,1,1,0,no
19,107,5,2,4,4,0,no
13,53,5,6,2,10,0,no
4,20,3,0,3,3,0,no
8,49,3,1,3,1,1,no
25,104,7,5,6,1,0,no
43,184,18,8,16,61,1,no
39,297,16,5,14,82,0,no
11,25,3,1,3,3,0,no
22,82,3,6,1,3,0,no
16,46,4,4,4,0,0,no
4,14,2,2,1,0,1,no
20,146,10,2,5,21,1,no
22,103,7,5,6,21,0,no
18,82,3,6,1,3,0,no
20,112,4,10,4,2,1,no
14,79,4,7,3,6,0,no
27,169,6,5,4,0,0,no
23,298,10,0,10,0,0,no
1,1,1,0,1,0,0,no
64,409,23,4,18,213,1,no
45,459,14,10,12,3,0,no
154,1711,39,16,26,449,3,no
19,108,5,0,3,0,0,no
44,331,18,12,16,77,3,no
65,348,24,12,13,222,3,no
23,160,6,5,3,9,0,no
11,53,3,4,3,0,0,no
10,46,6,3,6,3,0,no
26,141,7,4,6,0,0,no
18,83,2,2,2,0,0,no
26,185,9,5,7,16,0,yes
40,345,20,4,18,130,1,yes
11,41,3,4,1,1,1,yes
65,483,16,15,13,76,0,yes
101,1286,27,3,15,157,1,yes
34,137,17,7,17,118,1,yes
20,128,2,7,1,1,0,yes
120,920,43,16,30,451,5,yes
20,187,4,3,2,4,0,yes
35,207,17,6,12,130,0,yes
53,405,27,3,23,229,0,yes
58,303,12,14,11,0,1,yes
21,143,19,5,18,145,3,yes
92,710,34,10,29,39,2,yes
7,7,7,1,7,21,0,yes
49,488,14,6,7,7,0,yes
48,384,14,16,11,41,2,yes
39,260,7,9,7,1,2,yes
57,566,9,3,2,34,0,yes
21,83,6,6,5,15,0,yes
96,905,14,23,10,87,2,yes
34,236,6,4,5,11,1,yes
2,16,1,0,1,0,0,yes
71,783,22,11,17,163,5,yes
42,233,13,7,8,54,1,yes
45,279,11,7,11,15,2,yes
49,450,13,7,7,54,0,yes
26,193,5,5,5,6,0,yes
26,210,7,2,7,9,0,yes
7,33,4,2,4,0,0,yes
53,348,17,18,14,86,2,yes
36,202,13,7,8,62,1,yes
47,1004,18,2,15,145,2,yes
64,791,9,9,1,22,0,yes
41,381,12,1,3,0,0,yes
72,623,13,6,8,22,2,yes
23,400,13,2,12,68,0,yes
76,573,21,14,16,152,2,yes
18,90,9,4,8,14,1,yes
45,204,28,23,28,348,0,yes
15,85,4,6,4,2,0,yes
63,528,28,7,24,200,2,yes
36,620,21,0,17,38,0,yes
13,76,10,2,10,31,1,yes
112,1021,34,13,28,461,3,yes
39,469,15,2,14,41,1,yes
50,404,9,4,5,24,0,yes
31,147,8,7,4,16,1,yes
24,186,7,4,6,0,1,yes
39,353,9,11,8,10,1,yes
109,778,31,15,27,365,2,yes
36,314,11,0,8,51,0,yes
18,182,10,0,8,21,0,yes
60,526,26,7,20,225,2,yes
75,682,16,12,12,50,1,yes
106,1020,34,9,15,435,3,yes
44,298,5,8,3,8,0,yes
17,57,4,4,4,0,0,yes
46,212,7,9,4,9,0,yes
91,800,25,13,16,196,1,yes
36,241,3,2,1,3,0,yes
15,125,6,1,5,15,0,yes
73,776,35,2,34,353,0,yes
22,112,7,1,6,0,0,yes
41,191,27,23,27,321,0,yes
11,154,10,0,10,15,0,yes
47,310,15,6,11,39,0,yes
107,898,42,15,33,739,2,yes
53,460,25,9,17,224,1,yes
76,616,16,5,16,0,1,yes
46,2106,27,3,4,53,2,yes
53,380,11,6,9,23,1,yes
11,121,10,0,10,15,0,yes
39,213,12,2,11,58,0,yes
26,98,13,8,12,0,2,yes
45,336,8,9,8,2,1,yes
4,12,2,2,1,1,0,yes
42,538,15,2,15,69,2,yes
60,305,18,11,16,39,1,yes
14,68,4,5,4,2,1,yes
85,461,17,16,4,74,5,yes
26,183,16,2,9,82,1,yes
52,519,18,8,9,101,2,yes
43,250,3,6,1,3,0,yes
93,807,35,9,25,519,3,yes
25,91,12,6,10,0,2,yes
140,1196,32,14,23,400,2,yes
71,515,25,9,22,182,1,yes
36,179,4,9,3,0,1,yes
49,402,15,5,9,75,0,yes
68,386,18,8,17,151,0,yes
33,305,8,7,8,0,0,yes
34,216,5,7,3,8,0,yes
99,804,12,14,8,18,1,yes
38,220,14,6,8,83,1,yes
68,397,24,6,22,244,1,yes
34,195,11,6,7,39,1,yes
103,1046,24,12,18,176,1,yes
72,457,21,14,16,54,2,yes
51,344,17,4,12,28,2,yes
137,1254,44,26,31,774,9,yes
41,388,7,3,6,15,0,yes
108,712,25,15,15,244,4,yes
87,498,15,13,10,69,0,yes
20,75,4,9,2,0,1,yes
118,1542,27,13,12,265,3,yes
112,837,48,19,44,962,4,yes
178,1152,60,25,43,1304,5,yes
2,26,1,0,0,0,0,yes
22,130,4,8,4,6,0,yes
56,455,20,9,15,150,2,yes
121,1031,40,24,36,622,6,yes
104,1270,31,25,20,347,5,yes
71,644,31,5,27,311,0,yes
46,206,20,9,17,160,0,yes
117,877,25,17,14,230,0,yes
85,811,26,7,19,217,1,yes
70,515,20,18,13,136,5,yes
109,1212,42,19,30,653,3,yes
21,167,2,7,2,1,0,yes
103,1167,25,16,3,134,9,yes
32,182,6,9,3,9,1,yes
33,292,6,6,6,3,1,yes
144,2303,63,10,31,1603,2,yes
67,586,34,11,29,295,1,yes
77,725,15,10,12,41,3,yes
22,185,8,1,6,6,0,yes
119,900,31,15,19,277,0,yes
123,1021,77,17,68,2700,6,yes
56,689,23,2,18,107,2,yes
42,356,18,7,12,113,0,yes
59,304,14,25,8,67,5,yes
100,788,30,10,16,271,3,yes
132,1139,28,15,19,130,2,yes
53,390,15,8,5,71,2,yes
38,260,10,6,10,9,1,yes
54,493,11,8,10,15,1,yes
121,1035,59,29,57,1145,2,yes
104,1038,30,9,5,429,0,yes
54,345,9,11,7,10,0,yes
85,741,24,14,13,180,0,yes
69,379,5,7,2,8,0,yes
158,1752,58,12,56,1627,1,yes
109,879,29,25,20,268,6,yes
75,968,11,1,9,53,0,yes
120,2098,35,28,24,417,0,yes
80,631,16,17,11,86,3,yes
19,105,7,3,7,21,0,yes
97,941,32,14,32,362,3,yes
126,2117,23,17,5,161,0,yes
172,1224,22,25,10,151,2,yes
80,549,18,12,12,61,2,yes
74,487,7,11,2,15,0,yes
261,2704,92,34,81,3726,11,yes
157,1828,45,22,27,744,2,yes
135,1100,46,37,40,17,3,yes
267,2328,63,35,36,1715,9,yes
96,856,23,13,16,181,1,yes
169,1842,56,16,35,1200,2,yes
60,4541,41,3,8,402,2,yes
150,1561,39,21,24,625,1,yes
152,1413,31,22,13,349,8,yes
73,598,17,6,10,82,0,yes
210,2937,49,30,28,844,2,yes
109,881,26,12,20,233,1,yes
288,2384,120,30,103,6692,5,yes
