@relation ant-1.7_mod_paper

@attribute loc numeric
@attribute cbo numeric
@attribute wmc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dit numeric
@attribute noc numeric
@attribute bug {no,yes}

@data
74,7,4,19,6,2,4,0,no
221,14,4,27,4,0.777778,1,0,no
60,0,9,16,34,0,3,0,no
377,12,14,41,29,0.87574,5,0,no
492,14,14,69,25,0.837607,5,0,no
72,7,6,16,9,0.8,4,0,no
507,12,21,61,144,0.836364,3,0,no
127,2,4,17,6,2,1,0,no
35,5,4,7,4,0.333333,1,0,no
108,4,7,21,3,0.666667,2,0,no
141,6,8,27,0,0.685714,3,0,no
66,3,7,15,21,2,1,0,no
45,4,4,8,4,0.666667,1,0,no
12,0,2,3,0,0,1,0,no
130,8,12,41,66,2,4,0,no
14,3,3,5,1,0.5,3,0,no
10,5,2,4,1,2,2,0,no
23,3,2,7,1,2,3,0,no
13,3,2,3,0,0,5,0,no
120,6,9,25,18,0.875,4,0,no
2,4,2,2,1,2,1,0,no
146,10,5,27,2,0.625,4,0,no
66,6,2,13,1,2,2,0,no
163,10,2,22,1,1.25,2,0,no
81,4,4,13,0,0.333333,4,0,no
251,5,10,25,0,0.703704,5,0,no
17,3,4,5,4,0.666667,3,1,no
134,6,10,32,41,0.888889,4,0,no
707,15,42,92,753,0.94835,4,0,no
254,6,16,40,80,0.858333,1,3,no
246,2,9,23,0,0.5,2,1,no
266,15,9,34,4,0.785714,5,0,no
378,6,14,34,65,0.910256,3,0,no
4,3,1,2,0,2,6,1,no
17,4,3,7,3,2,1,0,no
471,89,29,59,328,0.880952,3,7,no
195,7,6,29,0,0.76,4,0,no
214,5,10,41,21,0.666667,3,0,no
144,8,5,26,10,2,3,0,no
19,0,3,7,0,0,1,0,no
94,5,6,17,5,0.733333,3,0,no
264,12,7,46,21,2,1,0,no
52,4,4,16,0,0.333333,6,0,no
153,499,15,30,0,0.392857,4,3,no
19,2,3,5,3,2,1,0,no
130,62,9,22,28,0.75,1,59,no
280,15,6,56,13,0.8,2,0,no
386,7,14,43,57,0.769231,3,0,no
822,12,34,86,0,0.998522,3,0,no
156,6,10,26,9,0.722222,2,0,no
24,1,3,5,3,2,1,0,no
34,4,3,6,0,0,2,0,no
265,6,2,23,1,2,1,0,no
3,13,1,1,0,2,1,0,no
81,5,5,18,10,2,4,0,no
8,6,2,4,1,2,1,0,no
503,20,28,78,142,0.785185,4,0,no
977,19,31,107,391,0.922807,3,0,no
116,8,3,24,3,2,2,0,no
671,18,25,91,218,0.889881,3,0,no
302,7,21,45,168,0.923077,4,0,no
202,1,6,16,11,0.85,1,0,no
552,24,13,82,22,0.783333,1,0,no
165,5,8,19,8,1,2,0,no
115,1,1,13,0,2,1,0,no
87,3,5,17,10,2,4,0,no
2,4,2,2,1,2,1,0,no
203,8,12,41,48,0.636364,2,0,no
281,2,8,40,10,0.714286,3,0,no
84,6,6,16,1,0.6,2,0,no
135,3,6,25,0,0.3,1,0,no
1,3,1,1,0,2,1,0,no
101,4,3,19,0,0.75,1,0,no
4,3,1,2,0,2,2,1,no
108,4,4,14,0,0.5,4,0,no
147,3,4,18,4,0.666667,3,0,no
137,9,5,25,4,0.75,2,0,no
42,6,7,9,15,0.833333,1,1,no
13,4,2,3,0,0,5,0,no
35,4,3,11,0,0,3,0,no
150,4,7,23,0,0.555556,5,0,no
247,10,11,39,0,0.7,3,0,no
140,8,17,32,16,0.822917,4,0,no
284,5,8,16,6,0.571429,1,0,no
874,17,28,105,344,0.864198,3,0,no
79,8,4,14,6,0.666667,1,0,no
1107,2,8,9,0,0.428571,1,0,no
171,10,5,34,10,1.25,2,0,no
71,5,3,20,3,1,4,0,no
105,1,7,11,7,0.333333,1,0,no
89,4,8,17,16,0.285714,1,2,no
90,6,7,21,0,0.333333,2,1,no
223,8,12,31,46,0.836364,1,1,no
109,9,8,13,12,0.428571,1,0,no
1,14,1,1,0,2,1,0,no
52,7,3,14,3,2,5,0,no
105,10,3,16,3,2,2,0,no
2,4,2,2,1,2,1,0,no
888,15,64,111,1836,0.945578,5,3,no
386,9,12,46,34,0.715909,1,0,no
32,3,3,10,0,0,3,0,no
108,4,7,21,3,0.666667,2,0,no
14,5,14,14,91,2,1,0,no
4,5,4,4,6,2,1,0,no
355,7,13,52,48,0.892857,3,0,no
850,15,23,56,191,0.807359,1,0,no
16,8,4,5,6,2,1,0,no
155,12,13,32,70,0.833333,1,0,no
20,1,2,6,1,2,2,0,no
327,47,42,98,0,0,3,21,no
1367,22,33,135,316,0.940625,1,6,no
122,16,8,25,28,2,4,0,no
143,2,7,15,0,0.866667,2,2,no
97,11,4,18,6,2,1,0,no
214,11,12,28,36,0.727273,3,0,no
51,7,5,14,0,0.375,2,0,no
135,8,9,21,22,0.541667,1,1,no
37,4,4,8,0,0.333333,2,0,no
25,4,2,8,1,2,4,0,no
362,19,16,56,60,0.809524,4,0,no
109,7,15,24,77,0.871429,1,2,no
134,150,11,26,41,0.56,1,0,no
143,12,9,28,6,0.125,6,0,no
129,5,4,26,6,1.166667,4,0,no
177,3,9,20,34,0.625,3,0,no
300,11,28,52,282,0.919753,1,0,no
129,6,10,20,39,0.555556,1,1,no
95,5,3,16,3,2,2,0,no
1006,12,36,111,528,0.947143,3,0,no
52,9,3,14,3,2,5,1,no
1,22,1,1,0,2,1,0,no
23,3,2,7,1,2,3,0,no
209,15,7,32,1,0.625,5,0,no
70,4,6,13,9,0.6,5,0,no
285,9,13,41,48,0.583333,3,0,no
289,11,13,40,0,0.375,3,0,no
451,16,14,86,41,0.891026,1,0,no
185,6,3,32,3,2,2,0,no
1,4,1,1,0,2,1,0,no
335,2,7,36,0,0.555556,1,0,no
11,2,2,5,1,2,4,0,no
107,3,5,19,4,0.25,5,0,no
53,8,5,13,10,2,1,2,no
20,6,3,4,3,2,1,0,no
49,3,3,8,1,0,3,0,no
104,6,7,25,1,0.611111,1,0,no
184,10,18,43,61,0.857143,3,2,no
297,9,16,39,82,0.766667,1,0,no
25,2,3,11,3,2,3,0,no
82,6,3,22,3,1,4,0,no
46,4,4,16,0,0.333333,3,0,no
14,3,2,4,0,0,3,0,no
146,9,10,20,21,0.814815,3,6,no
103,9,7,22,21,2,4,0,no
82,7,3,18,3,1.25,2,0,no
112,10,4,20,2,0.666667,4,0,no
79,8,4,14,6,0.666667,1,0,no
169,7,6,27,0,0,4,0,no
298,4,10,23,0,0,1,1,no
1,23,1,1,0,2,1,0,no
409,6,23,64,213,0.738636,4,0,no
459,10,14,45,3,0.576923,1,0,no
1711,26,39,154,449,0.878446,1,0,no
108,1,5,19,0,0.5,1,0,no
331,14,18,44,77,0.713235,5,0,no
348,14,24,65,222,0.937888,3,2,no
160,5,6,23,9,1.05,2,0,no
53,4,3,11,0,0,4,0,no
46,10,6,10,3,0.4,3,6,no
141,9,7,26,0,0,3,5,no
83,2,2,18,0,0,1,0,no
185,5,9,26,16,0.75,3,0,yes
345,4,20,40,130,0.736842,1,0,yes
41,5,3,11,1,0.5,4,0,yes
483,15,16,65,76,0.92,3,0,yes
1286,8,27,101,157,0.824786,3,0,yes
137,9,17,34,118,0.975,5,0,yes
128,9,2,20,1,2,3,0,yes
920,25,43,120,451,0.893375,3,1,yes
187,7,4,20,4,0.888889,1,0,yes
207,6,17,35,130,0.991071,5,0,yes
405,11,27,53,229,0.802198,2,0,yes
303,14,12,58,0,0.606061,3,0,yes
143,9,19,21,145,0.954861,1,2,yes
710,10,34,92,39,0.723485,4,0,yes
7,16,7,7,21,2,1,0,yes
488,7,14,49,7,0.735043,5,0,yes
384,17,14,48,41,0.769231,3,0,yes
260,9,7,39,1,0.708333,3,0,yes
566,5,9,57,34,1.083333,1,0,yes
83,8,6,21,15,2,5,2,yes
905,30,14,96,87,0.884615,1,0,yes
236,4,6,34,11,0.6,2,0,yes
16,0,1,2,0,2,1,0,yes
783,12,22,71,163,0.867347,3,0,yes
233,12,13,42,54,0.791667,3,4,yes
279,8,11,45,15,0.566667,4,0,yes
450,8,13,49,54,0.84375,2,0,yes
193,7,5,26,6,1.05,3,0,yes
210,3,7,26,9,0.916667,4,0,yes
33,5,4,7,0,0.833333,3,0,yes
348,18,17,53,86,0.892045,3,0,yes
202,9,13,36,62,0.638889,3,2,yes
1004,10,18,47,145,0.794118,1,0,yes
791,10,9,64,22,2,4,0,yes
381,4,12,41,0,0.769697,1,0,yes
623,6,13,72,22,0.89881,4,0,yes
400,27,13,23,68,0.929167,1,0,yes
573,15,21,76,152,0.833333,4,0,yes
90,5,9,18,14,0.8125,3,0,yes
204,23,28,45,348,0.037037,4,5,yes
85,6,4,15,2,0.888889,3,0,yes
528,34,28,63,200,0.805556,1,0,yes
620,2,21,36,38,0.631818,1,0,yes
76,3,10,13,31,0.703704,1,0,yes
1021,112,34,112,461,0.80303,3,0,yes
469,3,15,39,41,0.704082,3,0,yes
404,6,9,50,24,0.85,2,1,yes
147,7,8,31,16,0.809524,6,0,yes
186,4,7,24,0,0.566667,1,0,yes
353,17,9,39,10,0.875,1,0,yes
778,15,31,109,365,0.888095,3,0,yes
314,4,11,36,51,1.01,1,0,yes
182,5,10,18,21,0.728395,1,0,yes
526,8,26,60,225,0.872727,3,1,yes
682,12,16,75,50,0.937037,1,0,yes
1020,9,34,106,435,0.933014,3,0,yes
298,9,5,44,8,0.625,3,0,yes
57,4,4,17,0,0.333333,2,0,yes
212,10,7,46,9,0.733333,3,0,yes
800,14,25,91,196,0.878205,5,1,yes
241,3,3,36,3,2,2,0,yes
125,4,6,15,15,2,1,0,yes
776,8,35,73,353,0.80719,1,0,yes
112,3,7,22,0,0.708333,1,0,yes
191,25,27,41,321,0,3,2,yes
154,3,10,11,15,0.333333,1,0,yes
310,10,15,47,39,0.547619,3,3,yes
898,19,42,107,739,0.928862,3,4,yes
460,10,25,53,224,0.720238,1,0,yes
616,8,16,76,0,0.883333,1,0,yes
2106,6,27,46,53,0.740093,2,0,yes
380,6,11,53,23,0.833333,3,0,yes
121,8,10,11,15,0.333333,1,0,yes
213,3,12,39,58,0.690909,5,0,yes
98,8,13,26,0,0.611111,3,0,yes
336,10,8,45,2,0.714286,3,1,yes
12,3,2,4,1,2,4,0,yes
538,5,15,42,69,0.669643,3,0,yes
305,11,18,60,39,0.607843,5,0,yes
68,6,4,14,2,0.666667,2,0,yes
461,17,17,85,74,0.7875,2,0,yes
183,14,16,26,82,0.733333,1,3,yes
519,8,18,52,101,0.861345,3,0,yes
250,8,3,43,3,2,2,1,yes
807,13,35,93,519,0.909091,3,0,yes
91,8,12,25,0,0.363636,2,2,yes
1196,16,32,140,400,0.970588,2,1,yes
515,20,25,71,182,0.819444,1,0,yes
179,9,4,36,0,0.866667,4,0,yes
402,7,15,49,75,0.75,2,1,yes
386,24,18,68,151,1.044118,1,2,yes
305,7,8,33,0,0.714286,1,0,yes
216,8,5,34,8,0.5,2,0,yes
804,15,12,99,18,0.826446,3,0,yes
220,8,14,38,83,0.74359,3,2,yes
397,45,24,68,244,0.804348,4,0,yes
195,6,11,34,39,0.9,6,0,yes
1046,13,24,103,176,0.808184,4,0,yes
457,15,21,72,54,0.835,4,0,yes
344,9,17,51,28,0.546875,2,2,yes
1254,28,44,137,774,0.923342,4,0,yes
388,4,7,41,15,0.833333,1,0,yes
712,15,25,108,244,0.815476,1,0,yes
498,13,15,87,69,0.826531,4,0,yes
75,11,4,20,0,0,4,1,yes
1542,13,27,118,265,0.895604,4,0,yes
837,25,48,112,962,0.965046,4,0,yes
1152,35,60,178,1304,0.891326,3,0,yes
26,0,1,2,0,2,1,0,yes
